,acc,f1,kappa,prec,recall
meet,0.750822721,0.737468908,0.501588057,0.778237353,0.700759204
begin,0.754614394,0.741639048,0.509159251,0.781800858,0.70540192
large,0.737945343,0.723734822,0.475807108,0.7638911,0.687589567
recently,0.749749607,0.738838286,0.4993948,0.770356531,0.709797733
subject,0.768922593,0.760811611,0.537755161,0.785954712,0.737227325
general,0.736228359,0.719427745,0.472203528,0.764762983,0.679166667
forward,0.742166261,0.726596875,0.484074296,0.769317269,0.688371424
events,0.770568035,0.75830884,0.540896416,0.796296296,0.723780751
deserves,0.742667048,0.727231364,0.485002426,0.768429487,0.690225997
nature,0.759765346,0.747290789,0.519227382,0.782259335,0.715314796
rating,0.755615968,0.741642717,0.510839375,0.779615201,0.707197461
violence,0.781656889,0.771042761,0.563007636,0.803094233,0.74145145
city,0.749463443,0.73799192,0.498591967,0.766314481,0.711688312
son,0.748748033,0.736613169,0.497135333,0.766744731,0.708760283
worked,0.744598655,0.727022481,0.488645286,0.772756827,0.686399076
list,0.761911575,0.745721271,0.523285001,0.791436912,0.704998555
needed,0.746029475,0.726502311,0.4913915,0.778052805,0.681358382
present,0.746673344,0.72963274,0.492749466,0.773264282,0.690662041
greatest,0.761124624,0.748626063,0.521794011,0.780656304,0.719120625
directors,0.750321934,0.736125813,0.500118097,0.771107239,0.704180529
offers,0.739089999,0.723565527,0.477596955,0.759910842,0.690538194
forced,0.747388754,0.72890595,0.4940706,0.776414786,0.686875995
believable,0.776005151,0.766081434,0.55156861,0.78961959,0.743905978
earlier,0.739519245,0.721869987,0.47819043,0.761728196,0.68597561
theater,0.758692231,0.741908333,0.516521356,0.783325254,0.704651163
decided,0.755258263,0.739312657,0.509649727,0.776035834,0.705908033
pay,0.743740163,0.723055513,0.486322752,0.771108179,0.680640466
language,0.773644298,0.760556985,0.546537571,0.791089421,0.732293792
dramatic,0.756903706,0.742146001,0.51292816,0.77361177,0.713139857
children,0.776005151,0.761991638,0.551156835,0.795429297,0.731251824
telling,0.749177279,0.731875191,0.497205893,0.76744186,0.699459143
waste,0.764773215,0.75154904,0.528678164,0.777395654,0.727365804
sit,0.744884819,0.725861009,0.488460569,0.764906027,0.690608543
unlike,0.745814852,0.724466848,0.490064176,0.769649036,0.684295341
body,0.752182,0.736216875,0.503231777,0.766571519,0.708174626
emotional,0.794319645,0.784337259,0.58795525,0.802825553,0.766681332
surprisingly,0.741808556,0.722106722,0.482130492,0.760090776,0.68773834
actress,0.773572757,0.763010109,0.546427801,0.779409515,0.747286594
produced,0.726856489,0.708014683,0.452261754,0.738748803,0.679735683
famous,0.750679639,0.736084816,0.500242208,0.759137769,0.71439071
recent,0.754042066,0.734476367,0.506458438,0.773045033,0.699573341
soundtrack,0.760766919,0.745509893,0.520280675,0.771217131,0.721461187
background,0.743597081,0.723371411,0.485449291,0.759604474,0.690437601
terrific,0.771712691,0.757725306,0.542261501,0.781029895,0.735771159
shots,0.750822721,0.733328229,0.500023425,0.759796922,0.70864161
sounds,0.744527114,0.721559454,0.486780416,0.762022398,0.685176958
setting,0.748891115,0.728580266,0.495756372,0.761312217,0.698546856
break,0.746816426,0.722453141,0.491035311,0.765243396,0.68419489
effect,0.746816426,0.723580411,0.491168327,0.76284585,0.688159263
average,0.742595507,0.718686474,0.482642565,0.758415842,0.682912333
truth,0.758048362,0.736604361,0.513775801,0.772838699,0.703615533
powerful,0.786092431,0.772623574,0.570863782,0.790046656,0.755952381
kid,0.767205609,0.751906069,0.532867454,0.770228054,0.734435508
period,0.751395049,0.734022197,0.500911087,0.752038896,0.716848557
hate,0.768278724,0.746060368,0.533897446,0.783984182,0.711636255
front,0.745099442,0.720439388,0.487214498,0.7572159,0.68706974
credits,0.733939047,0.705332383,0.464278219,0.748444594,0.666916392
hell,0.768135642,0.749245648,0.534049693,0.774472169,0.72561067
stupid,0.783588496,0.767575874,0.565320796,0.785995279,0.75
rare,0.734439834,0.710768272,0.465942721,0.738623482,0.684937678
moves,0.74281013,0.715382788,0.482047002,0.756277201,0.678684092
rated,0.795822006,0.775523045,0.588985856,0.8124588,0.741799579
extras,0.782801545,0.763367108,0.563092934,0.79060381,0.737944545
situation,0.761625411,0.740417576,0.52051255,0.766328012,0.716201959
missing,0.744097868,0.71640371,0.484404154,0.755518395,0.681139756
inside,0.745385606,0.718589389,0.487107197,0.755193618,0.685369532
success,0.753541279,0.730627883,0.504042876,0.758195391,0.704994719
meets,0.748604951,0.726792101,0.494384565,0.749639134,0.705296514
voice,0.752468164,0.729603001,0.501900054,0.75644142,0.704603774
caught,0.73343826,0.704567079,0.462844698,0.741736227,0.670945334
choice,0.749105738,0.72195354,0.494413886,0.759846462,0.687660474
message,0.772428101,0.753659103,0.542435329,0.772626231,0.735600907
