Orig,ndcg,Bow,ndcg,Vector,ndcg
meet,0.695974542,meet,0.658298893,meet,0.697602416
begin,0.714288103,begin,0.70957412,begin,0.713315513
large,0.627142119,large,0.633390478,large,0.627369024
recently,0.706220082,recently,0.703268378,recently,0.70583384
subject,0.766976649,subject,0.753763515,subject,0.767263199
general,0.67441067,general,0.662645827,general,0.674668003
forward,0.700887179,forward,0.685288933,forward,0.701164811
events,0.79087866,events,0.747899998,events,0.793622274
deserves,0.714789028,deserves,0.712761402,deserves,0.714997333
nature,0.731893094,nature,0.680458763,nature,0.732529986
rating,0.694964896,rating,0.69051553,rating,0.694476881
violence,0.812273649,violence,0.71827158,violence,0.813069067
city,0.733105958,city,0.633772902,city,0.736625651
son,0.738399911,son,0.667586233,son,0.739397739
worked,0.702045849,worked,0.699105117,worked,0.699040358
list,0.667373499,list,0.652486386,list,0.667815603
needed,0.696662623,needed,0.696987383,needed,0.695594308
present,0.711574848,present,0.701904331,present,0.71251223
greatest,0.677066581,greatest,0.639155718,greatest,0.672214731
directors,0.687926239,directors,0.66167807,directors,0.688262217
offers,0.700541597,offers,0.705614781,offers,0.700612704
forced,0.709993115,forced,0.70588536,forced,0.706661793
believable,0.757658159,believable,0.735283488,believable,0.759114711
earlier,0.703409768,earlier,0.704827661,earlier,0.703432566
theater,0.709747337,theater,0.670144911,theater,0.710175638
decided,0.710906621,decided,0.705871362,decided,0.711214971
pay,0.706051567,pay,0.681194799,pay,0.705827255
language,0.675150639,language,0.635574714,language,0.675749271
dramatic,0.741801104,dramatic,0.74241637,dramatic,0.741895234
children,0.816637507,children,0.756069435,children,0.819066668
telling,0.702253191,telling,0.707766604,telling,0.702793466
waste,0.783784054,waste,0.714723258,waste,0.786748668
sit,0.715369147,sit,0.717603628,sit,0.716029202
unlike,0.677432065,unlike,0.693009807,unlike,0.676722424
body,0.724549636,body,0.659789355,body,0.730473329
emotional,0.826829903,emotional,0.772097858,emotional,0.828286655
surprisingly,0.688864192,surprisingly,0.690349233,surprisingly,0.68909272
actress,0.804066695,actress,0.732614873,actress,0.804811177
produced,0.709617988,produced,0.710019767,produced,0.70987178
famous,0.738561287,famous,0.727347686,famous,0.739428071
recent,0.697035044,recent,0.696083977,recent,0.697038324
soundtrack,0.750333939,soundtrack,0.689279743,soundtrack,0.751070818
background,0.689006854,background,0.70011479,background,0.689825045
terrific,0.707672881,terrific,0.697021689,terrific,0.708152568
shots,0.71813129,shots,0.682946029,shots,0.719638041
sounds,0.721398422,sounds,0.709377053,sounds,0.720965578
setting,0.742035949,setting,0.719949447,setting,0.740997921
break,0.657045256,break,0.645726507,break,0.657969385
effect,0.669912037,effect,0.670873345,effect,0.670927672
average,0.703145859,average,0.702116559,average,0.703264068
truth,0.740033832,truth,0.701746401,truth,0.741354553
powerful,0.77217884,powerful,0.735815093,powerful,0.773202715
kid,0.76300007,kid,0.734566529,kid,0.767282404
period,0.794605089,period,0.75819403,period,0.797517465
hate,0.704087454,hate,0.67315645,hate,0.704689649
front,0.690573832,front,0.679644019,front,0.69159454
credits,0.699258097,credits,0.70432849,credits,0.697683379
hell,0.670574412,hell,0.666941426,hell,0.671696647
stupid,0.785769749,stupid,0.726238539,stupid,0.787027333
rare,0.687333711,rare,0.685075456,rare,0.687454446
moves,0.73653399,moves,0.636369286,moves,0.741309136
rated,0.735828631,rated,0.705085694,rated,0.736712299
extras,0.76205179,extras,0.689590054,extras,0.761338413
situation,0.760547083,situation,0.715019108,situation,0.760837703
missing,0.659406351,missing,0.655068517,missing,0.660623426
inside,0.682327332,inside,0.675840506,inside,0.684063746
success,0.71052149,success,0.693536136,success,0.711387808
meets,0.751684434,meets,0.72770972,meets,0.752562233
voice,0.77669354,voice,0.728276205,voice,0.782611429
caught,0.703927179,caught,0.705493761,caught,0.703704518
choice,0.654721912,choice,0.653045604,choice,0.654694614
message,0.802083358,message,0.694772008,message,0.80390838
awful,0.775615843,awful,0.721645174,awful,0.777559382
female,0.770623049,female,0.694362044,female,0.772297805
waiting,0.669365533,waiting,0.651492468,waiting,0.669776422
reading,0.720442077,reading,0.679893713,reading,0.722169299
longer,0.673079152,longer,0.668878395,longer,0.672182772
previous,0.732495992,previous,0.690222304,previous,0.72957402
ten,0.647470652,ten,0.655979942,ten,0.648011437
slightly,0.650388111,slightly,0.655681078,slightly,0.648759327
