noir (fatale, femme)
martial (kung, fight)
horror (scary, scares)
arts (rec, robomod)
musicals (musical, singing)
hilarious (funniest, laughing)
westerns (western, cowboy)
jokes (laughs, joke)
romantic (romance, romances)
animation (animated, cartoon)
western (westerns, west)
songs (song, lyrics)
comedies (comedic, laughs)
war (soldiers, military)
laughs (funnier, hilarious)
drug (drugs, addict)
sci (science, scifi)
documentary (documentaries, interviews)
mgm (clark, tcm)
thriller (thrillers, suspense)
funniest (hilarious, laughing)
gags (jokes, slapstick)
adults (children, adult)
animated (animation, cartoon)
dancing (dance, dances)
coach (sports, football)
net (mailing, rec)
indians (indian, native)
soldiers (soldier, army)
indie (independent, sundance)
suspense (suspenseful, thriller)
creepy (scary, creepiness)
nazis (nazi, german)
spoof (parody, parodies)
singing (sing, sings)
historical (historically, historic)
robbery (heist, bank)
dance (dancing, dances)
slasher (gore, horror)
musical (songs, singing)
sexual (sexually, sexuality)
satire (satirical, parody)
nudity (nude, gratuitous)
town (towns, townspeople)
gore (gory, blood)
killer (murderer, killers)
british (britain, england)
science (sci, scientific)
concert (musicians, album)
chemistry (romance, pairing)
funnier (laughs, funniest)
gangster (gangsters, mobster)
charming (charm, delightful)
hitchcock (hitchcocks, alfred)
disney (disneys, walt)
german (germany, germans)
religious (religion, christianity)
costumes (costume, lavish)
cop (cops, police)
band (bands, rock)
laughing (laughed, hilarious)
romance (romantic, romances)
sports (sport, coach)
erotic (sexual, sensual)
police (cops, cop)
marriage (married, marital)
adaptation (adaptations, adapted)
festival (sundance, independent)
crime (criminal, criminals)
vhs (tape, remastered)
song (songs, sing)
animals (animal, humans)
laughed (laughing, laughter)
comedic (comic, comedies)
detective (detectives, solve)
raunchy (vulgar, crude)
adventure (adventures, exciting)
fight (fighting, fights)
married (marriage, husband)
drugs (drug, addict)
email (internetreviews, rhodes)
gory (gore, blood)
government (governments, officials)
germany (german, nazi)
emotional (emotionally, emotions)
wwii (war, germans)
scares (scary, scare)
artist (artists, artistic)
cute (adorable, sweet)
germans (german, germany)
unfunny (jokes, gags)
predictable (cliche, formulaic)
crude (vulgar, raunchy)
inspirational (inspiring, uplifting)
musicians (concert, musician)
slapstick (gags, comedic)
footage (documentary, clips)
scientific (scientists, scientist)
humans (beings, creatures)
thrillers (thriller, suspense)
numbers (musical, musicals)
edition (disc, extras)
children (childrens, adults)
touching (poignant, heartfelt)
atmosphere (mood, atmospheric)
car (cars, driving)
doctor (doctors, medical)
scientist (scientists, scientific)
quirky (offbeat, eccentric)
murder (murdered, murders)
scare (scary, scares)
supernatural (ghost, spooky)
politics (political, politicians)
political (politics, politically)
team (teams, sports)
violence (violent, bloody)
spooky (creepy, scary)
parody (spoof, parodies)
print (restored, transfer)
monster (monsters, creature)
disneys (disney, walt)
gritty (realism, tough)
husband (husbands, married)
combat (battle, fighting)
marry (marrying, wedding)
teens (teen, teenage)
inspiring (inspirational, inspiration)
documentaries (documentary, interviews)
twists (twist, surprises)
murders (murder, killings)
heartwarming (touching, uplifting)
suspenseful (suspense, thriller)
cops (cop, police)
melodrama (melodramatic, soap)
magical (magic, enchanting)
era (period, todays)
actress (actresses, female)
culture (cultural, cultures)
interviews (interview, interviewed)
sexy (hot, attractive)
stunts (stunt, chase)
england (british, britain)
charm (charming, endearing)
witty (wit, clever)
message (messages, meaning)
investigation (investigating, investigate)
childrens (children, adults)
franchise (sequels, sequel)
california (angeles, los)
sequences (sequence, choreographed)
stage (performed, perform)
wealthy (rich, wealth)
violent (violence, brutal)
disturbing (shocking, unsettling)
military (soldier, soldiers)
agent (agents, spy)
fighting (fight, fights)
spectacle (spectacular, epic)
sing (singing, sings)
period (era, historical)
gangsters (gangster, mobster)
teenage (teen, teenager)
relationships (relate, feelings)
visuals (visually, visual)
sport (sports, champion)
scenery (locations, location)
mystery (clues, mysterious)
troops (soldiers, army)
epic (scope, epics)
restored (restoration, print)
sings (singing, sing)
americans (america, country)
fantasy (imagination, fairy)
events (happening, details)
fights (fight, fighting)
sequels (sequel, franchise)
cheesy (laughable, corny)
york (nyc, manhattan)
historically (historical, accurate)
chick (female, flicks)
revenge (kills, kill)
blu (ray, bluray)
visual (visually, visuals)
sequel (sequels, franchise)
tension (tense, suspenseful)
sweet (charming, warm)
chills (scary, scared)
clever (smart, witty)
nominated (oscar, nominations)
scariest (frightening, scary)
creature (monster, creatures)
officer (officers, cop)
stupid (dumb, ridiculous)
frightening (scary, terrifying)
satirical (satire, parody)
gang (gangs, leader)
visually (visuals, visual)
sexually (sexual, sexuality)
social (society, relevant)
soldier (soldiers, army)
sentimental (sentimentality, sappy)
scientists (scientific, scientist)
villain (villains, evil)
waste (wasted, bother)
evidence (suspect, truth)
battle (battles, fighting)
aka (date, bios)
childhood (grew, growing)
killings (murders, killing)
broadway (stage, musicals)
girls (female, ladies)
ages (children, adults)
audio (extras, disc)
beliefs (religion, religious)
parents (children, adults)
amusing (humorous, laughs)
exploitation (sleazy, shocking)
horrible (awful, avoid)
premise (concept, potential)
alien (aliens, sci)
daughter (daughters, mom)
breathtaking (stunning, spectacular)
space (outer, earth)
artists (artist, artistic)
subtitles (english, foreign)
transfer (edition, audio)
killed (killing, kill)
oscar (nominated, oscars)
adult (adults, parents)
sexuality (sexual, sexually)
outlaw (western, cowboy)
cultural (culture, cultures)
victims (victim, killings)
dances (dance, dancing)
voice (voices, vocal)
creatures (creature, humans)
tear (jerker, tears)
campy (camp, cheesy)
choreography (choreographed, dance)
awful (horrible, avoid)
planet (earth, space)
portrayal (portrayed, portrays)
english (subtitles, foreign)
disc (audio, edition)
masterpiece (finest, unforgettable)
singer (singing, sings)
fiction (sci, science)
psychological (psycho, unsettling)
sheriff (town, towns)
teenagers (teens, teen)
adorable (cute, charming)
families (familys, children)
artistic (artist, artists)
emotionally (emotional, emotions)
purchase (purchased, buying)
boss (worker, mob)
won (award, nominated)
terrifying (frightening, scary)
powerful (impact, deeply)
society (social, system)
nostalgia (nostalgic, memories)
bloody (blood, gory)
criminal (crime, criminals)
brutal (brutality, brutally)
exciting (excitement, thrilling)
female (male, girls)
cult (weird, bizarre)
ensemble (storylines, terrific)
teenager (teenage, teen)
depressing (depressed, bleak)
thrilling (exciting, thrill)
accuracy (accurate, inaccuracies)
accurate (accuracy, depicted)
cried (tears, cry)
narrative (storytelling, structure)
killing (kill, kills)
surreal (bizarre, weird)
loud (laughing, laughed)
flicks (cheesy, yeah)
emotions (emotion, emotional)
facts (factual, account)
army (soldiers, troops)
subject (topic, insight)
gorgeous (stunning, beauty)
wit (witty, clever)
technology (technical, advanced)
gripping (riveting, intense)
murdered (murder, murders)
stereotypes (stereotypical, ethnic)
remastered (digitally, transfer)
murderer (killer, murders)
cgi (graphics, impressive)
bizarre (weird, surreal)
tears (cry, cried)
chilling (frightening, eerie)
familys (families, youngest)
ordered (arrived, purchased)
haunting (haunted, eerie)
grandchildren (children, ages)
shocking (shock, disturbing)
widescreen (anamorphic, ratio)
teaches (teach, teaching)
eerie (creepy, spooky)
kid (adults, adult)
beautifully (beauty, stunning)
joke (jokes, stupid)
weapons (guns, gun)
extras (audio, disc)
liners (witty, jokes)
officers (officer, police)
confusing (confused, confusion)
awesome (buying, honestly)
explosions (guns, packed)
mom (moms, mothers)
male (female, sexual)
imagery (images, visual)
singers (singing, sing)
criminals (criminal, crime)
heartbreaking (wrenching, sadness)
situation (forced, situations)
issues (issue, provoking)
delightful (delight, charming)
independent (indie, sundance)
twist (twists, surprises)
musician (musicians, classical)
fought (battle, fighting)
