,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
Action,"['aimed space heads complaint task previously commercial blast armed wear '
 'fights ' 'hitchcock ' 'martial '
 'numbers weak packed climax involves spoilers tight finale agent edge danger qualities paced wooden mayhem buff assigned competent adequate '
 'villain hero villains showdown ']",['numbers weak packed climax involves spoilers tight finale agent edge danger qualities paced wooden mayhem buff assigned competent adequate '],['martial '],[]
Adventure,"['adventure adventures '
 'continue suffering incredible strongly combined sinister sorts required tremendous devoted standing dedicated overwhelming enters attempted suffered rights '
 'hilariously ' 'kid grew town son sister brother '
 'leader heroic locations fate land steal encounter city faces ']",['adventure adventures '],['adventure adventures '],[]
Animation,"['animation animated voices cartoon graphics ' 'atmospheric gothic '
 'exploitation '
 'fascinating powerful visually engaging approach surprisingly vision satisfying moral thoughtful dramas central decade blend hidden explore carries achievement device served '
 'feelings questions actions aware suspect logic answers solve convinced ruin covered research execution claims shocked uncomfortable decision multi extent repeatedly utter repeated commit frustrating clue intrigued explaining cases preposterous tech cry intent bothered appreciation spending connection hoped beating '
 'voiced ']",['voiced '],['voiced '],[]
Biography,"['biography biographical ' 'biopic ' 'factual ' 'hilariously '
 'inaccuracies '
 'wrote largely revelation subsequent failure test motives instance ']",['wrote largely revelation subsequent failure test motives instance '],['biopic '],[]
Comedy,"['accurate accuracy portrays depiction depicted portrait depicts fictional accurately determination authenticity '
 'charming witty wit liners sexual affection accent harmless '
 'comedic clever humorous opportunity talents odd pleasure credit tone frequently comic energy performers fame clothes eccentric uneven natured dressed wildly '
 'comedies funniest funnier gags laughed slapstick antics gag farce zany riot '
 'costumes costume ' 'struggling desperately ']",['struggling desperately '],['comedies funniest funnier gags laughed slapstick antics gag farce zany riot '],[]
Crime,"['crime police criminal cop cops ' 'gangster gangsters '
 'portrayal subtle masterpiece wonderfully location marvelous nominated magnificent finest exceptional reveals unforgettable gentle cold author stellar masterful sweeping '
 'slasher ' 'tension tense melodramatic taut ']",['crime police criminal cop cops '],['crime police criminal cop cops '],[]
Documentary,"['documentary footage documentaries '
 'fully audiences proves honest attempts performing riveting constantly deserved capture falling genius continues finished reach complicated variety basis essence absolute admire soul draws satisfied primarily identify amazingly shared blown critical drives '
 'gangster gangsters '
 'numbers weak packed climax involves spoilers tight finale agent edge danger qualities paced wooden mayhem buff assigned competent adequate '
 'record blowing lazy sucked stopped tons criticism previews stale creators ']",['documentary footage documentaries '],['documentary footage documentaries '],[]
Drama,"['accurate accuracy portrays depiction depicted portrait depicts fictional accurately determination authenticity '
 'chills surprises tune listening alike discuss reference stayed tradition vast briefly solution accomplished definition '
 'comedies funniest funnier gags laughed slapstick antics gag farce zany riot '
 'emotional emotions emotionally deeply relationships study emotion humanity tragedy surface depressing intensity heartbreaking extraordinary beings troubled affecting challenging sincere wrenching sadness despair tender ambiguous bittersweet meaningful longing affected '
 'genuine sensitive deals learns sympathetic realizes strength likeable choices develops fits greater opposite resolution albeit refuses credible carrying comfortable subtlety moves protagonists implausible stays reserved dealt climactic '
 'potential situation focus ability expectations loving wondering answer finding suggest meaning supposedly places asks overly reminds comments describe concerned grow speaks influence turning develop months fault breath peoples related twenty talks paying areas raised messages saved calling '
 'scientist scientific scientists ']",[],['emotional emotions emotionally deeply relationships study emotion humanity tragedy surface depressing intensity heartbreaking extraordinary beings troubled affecting challenging sincere wrenching sadness despair tender ambiguous bittersweet meaningful longing affected '],[]
Family,"['adult ages children parents teenager ' 'creatures creature '
 'disappointing cinematic utterly impossible requires gifted involvement '
 'disneys ' 'grandchildren '
 'purchase condition arrived ordered pleased purchased seller blu ray ']",['grandchildren '],['adult ages children parents teenager '],[]
Fantasy,"['exploitation ' 'factual '
 'magic colorful comical lavish delightfully dazzling colors '
 'social society controversial lifestyle ' 'sports sport coach '
 'supernatural ']",['exploitation '],['magic colorful comical lavish delightfully dazzling colors '],[]
