,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
Action,"['adventure spectacle exciting thrilling seat boyfriend exhilarating energy packed ride spectacular rousing excitement dazzling thrill energetic spirit '
 'martial fight fighting fights choreography choreographed fighter '
 'subject shocking routines issues conservative offensive controversial offended provocative views politically interpretation uncomfortable shock woods approach topic issue manner wartime liberal agenda clark correct '
 'touching heartwarming sentimental poignant heartfelt sentimentality affecting warm gentle bittersweet sweetness warmth warming '
 'wedding marry marries marrying bride '
 'westerns weapons gun shoot shooting bullets guns ']",['martial fight fighting fights choreography choreographed fighter '],['martial fight fighting fights choreography choreographed fighter '],[]
Adventure,"['adventure spectacle exciting thrilling seat boyfriend exhilarating energy packed ride spectacular rousing excitement dazzling thrill energetic spirit '
 'disneys walt ' 'native natives tribe ' 'pirates caribbean pirate '
 'sexual nudity erotic sexually sexuality porn explicit porno '
 'vhs era period childhood ages technology kid buster grew dated classics younger memories growing timeless tape vintage todays remembered popcorn originally mid generation holds decades tcm fashioned standards anymore ']",['adventure spectacle exciting thrilling seat boyfriend exhilarating energy packed ride spectacular rousing excitement dazzling thrill energetic spirit '],['adventure spectacle exciting thrilling seat boyfriend exhilarating energy packed ride spectacular rousing excitement dazzling thrill energetic spirit '],[]
Animation,"['adults children childrens parents adult '
 'daughter grandchildren bette davis aging daughters elderly hepburn aged queen '
 'gore gory violence spaghetti violent exploitation bloody brutal tarantino brutality blood torture graphic disgusting gruesome thugs nasty sadistic stomach massacre gratuitous grisly pulp squeamish visceral mayhem brutally '
 'japanese japan '
 'magical scenery visuals visually breathtaking masterpiece gorgeous beautifully explosions stunning gem lovely enchanting beauty outstanding magic remarkable sumptuous wonderfully lush delight finest elegant wondrous terrific marvelous fabulous awe crafted unforgettable pure sheer viewings brilliantly glorious rare vivid mesmerizing priceless '
 'voice voiced recording voices vocal listening ']",['daughter grandchildren bette davis aging daughters elderly hepburn aged queen '],['voice voiced recording voices vocal listening '],[]
Biography,"['birth pregnant pregnancy baby ' 'disease illness '
 'gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects '
 'sid '
 'western historical musicians silent biography propaganda regime anti revolution diet century jazz traditional biographical historic historians lifestyle context contemporary relevant ']","['disease illness '
 'gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects ']",['gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects '],[]
Comedy,"['hilarious jokes comedies laughs funniest funnier laughing laughed comedic simpsons comedians comedian loud liners joke hysterical laughter hilarity hilariously chuckle '
 'romantic romance charming cute quirky charm sweet adorable rom delightful endearing eccentric hearted likable offbeat pleasant whimsical lovable appealing likeable harmless affection '
 'slasher killer serial murder murders revenge killings assassination killed victims killing murdered murderer deaths kills killers kill sword assassin spree stalking murderous stalked ']","['hilarious jokes comedies laughs funniest funnier laughing laughed comedic simpsons comedians comedian loud liners joke hysterical laughter hilarity hilariously chuckle '
 'romantic romance charming cute quirky charm sweet adorable rom delightful endearing eccentric hearted likable offbeat pleasant whimsical lovable appealing likeable harmless affection ']",['hilarious jokes comedies laughs funniest funnier laughing laughed comedic simpsons comedians comedian loud liners joke hysterical laughter hilarity hilariously chuckle '],[]
Crime,"['cop police detective cops officer officers detectives '
 'gangster gangsters ' 'geocities html aol faustus ' 'robbers robbing '
 'slasher killer serial murder murders revenge killings assassination killed victims killing murdered murderer deaths kills killers kill sword assassin spree stalking murderous stalked ']","['cop police detective cops officer officers detectives '
 'gangster gangsters ']",['gangster gangsters '],[]
Documentary,"['adventure spectacle exciting thrilling seat boyfriend exhilarating energy packed ride spectacular rousing excitement dazzling thrill energetic spirit '
 'documentary footage documentaries interviews extras interviewed informative included unrated interview clips commentary bonus archival deleted featurette packaging trailers '
 'print edition restored audio transfer disc bios remastered dvds versions discs restoration format criterion releases digitally releasing color editions digital image prints presented mono presentation '
 'stupid campy ridiculous mess farce camp outrageous dumb laughable preposterous absurd disbelief zany silliness holes unbelievable trashy inept stupidity ludicrous logic '
 'widescreen dolby theatrical surround anamorphic ratio ']",['documentary footage documentaries interviews extras interviewed informative included unrated interview clips commentary bonus archival deleted featurette packaging trailers '],['documentary footage documentaries interviews extras interviewed informative included unrated interview clips commentary bonus archival deleted featurette packaging trailers '],[]
Drama,"['bond emotional families emotionally powerful gripping emotions haunting heartbreaking tragedy portrait tragic emotion riveting harrowing complex dramatic deeply compelling intense feelings bonds loss painful wrenching guilt pain sensitive intimate engrossing sadness intensity devastating raw acceptance nuanced impact extraordinary forgiveness '
 'corrupt corruption '
 'documentary footage documentaries interviews extras interviewed informative included unrated interview clips commentary bonus archival deleted featurette packaging trailers '
 'gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects '
 'widescreen dolby theatrical surround anamorphic ratio ']",['bond emotional families emotionally powerful gripping emotions haunting heartbreaking tragedy portrait tragic emotion riveting harrowing complex dramatic deeply compelling intense feelings bonds loss painful wrenching guilt pain sensitive intimate engrossing sadness intensity devastating raw acceptance nuanced impact extraordinary forgiveness '],['bond emotional families emotionally powerful gripping emotions haunting heartbreaking tragedy portrait tragic emotion riveting harrowing complex dramatic deeply compelling intense feelings bonds loss painful wrenching guilt pain sensitive intimate engrossing sadness intensity devastating raw acceptance nuanced impact extraordinary forgiveness '],[]
Family,"['adults children childrens parents adult ' 'disneys walt '
 'gore gory violence spaghetti violent exploitation bloody brutal tarantino brutality blood torture graphic disgusting gruesome thugs nasty sadistic stomach massacre gratuitous grisly pulp squeamish visceral mayhem brutally '
 'sexual nudity erotic sexually sexuality porn explicit porno ']",['adults children childrens parents adult ' 'disneys walt '],['disneys walt '],[]
Fantasy,"['alcoholic alcoholism '
 'animals dog python animal creatures dogs monty owner lovers lover wild trained '
 'disneys walt ' 'fantasy surreal elm fairy fairytale dreams dream '
 'horror creepy scares scare spooky chills scariest frightening terrifying haunted chilling eerie scary demonic scarier creepiness witch scared blair '
 'predictable melodrama stereotypes formulaic cliches sappy contrived cliche melodramatic cloying corny originality generic clich derivative dramedy ']",['alcoholic alcoholism '],['fantasy surreal elm fairy fairytale dreams dream '],[]
