,f1,acc,prec,kappa,recall
would,0.561105686,0.680745274,0.463744723,0.327187192,0.710211067
one,0.555293401,0.680745274,0.454636092,0.324816416,0.713196481
like,0.494209133,0.665938149,0.377098851,0.279102342,0.716822654
dont,0.491576521,0.686700907,0.375152253,0.295388371,0.712779635
know,0.442388268,0.650967107,0.33067989,0.228480187,0.668072766
get,0.459925906,0.67342367,0.341977963,0.263824584,0.702068966
also,0.444637849,0.686209157,0.323256468,0.266677251,0.711985135
think,0.434577139,0.686209157,0.314029596,0.25934209,0.705337168
people,0.51375738,0.761501475,0.381977804,0.37974733,0.784353741
time,0.431706317,0.697191564,0.304851557,0.271150159,0.73937478
could,0.395483674,0.67528139,0.276607854,0.225999156,0.693542633
im,0.38436214,0.673041198,0.265831792,0.217988447,0.693650204
use,0.423126338,0.705605945,0.29723225,0.27034594,0.734026746
well,0.398266612,0.681346301,0.273953158,0.238063122,0.729127314
good,0.389538592,0.686263796,0.267055394,0.234134931,0.719560094
even,0.420761399,0.714020326,0.290096139,0.278857958,0.765606122
much,0.382844047,0.691017375,0.260121608,0.233719107,0.724793388
make,0.369155228,0.691126653,0.248497596,0.223963712,0.717570499
way,0.383289125,0.695115288,0.256660746,0.241421364,0.756544503
anyone,0.331910352,0.657960879,0.219663794,0.176070332,0.678742907
see,0.383226819,0.699431756,0.257573474,0.24259624,0.748248687
new,0.368414765,0.711124467,0.250568736,0.231549522,0.695534506
may,0.36292368,0.698065785,0.24174474,0.225509198,0.727693019
first,0.371751684,0.714675992,0.250202429,0.239880735,0.722976135
two,0.36670204,0.706534805,0.243730408,0.234485961,0.740123751
many,0.386873065,0.729483117,0.2593392,0.263727862,0.761208577
want,0.331174184,0.689706043,0.216074996,0.197908258,0.708669355
used,0.333920808,0.690252431,0.217311516,0.201760036,0.720588235
please,0.358162871,0.727406841,0.238396986,0.23703558,0.71975181
us,0.396413276,0.753578844,0.266798775,0.284889846,0.770952629
need,0.314897623,0.681892689,0.203127372,0.182583403,0.700156986
say,0.372696072,0.730357338,0.245808182,0.255291494,0.770362585
right,0.334195933,0.704786362,0.216994719,0.210174673,0.726688103
thanks,0.385877412,0.74434488,0.255296978,0.274350886,0.789897904
since,0.32908072,0.692547263,0.210815765,0.204110216,0.749592613
really,0.320192308,0.690962736,0.20441989,0.196071987,0.738359202
something,0.315713251,0.690197793,0.201014292,0.192423511,0.735244519
still,0.301406402,0.68517102,0.190352221,0.179443541,0.723515716
problem,0.340685623,0.728882089,0.219821674,0.230268208,0.756788666
go,0.303922813,0.700415255,0.193095661,0.186534984,0.713349225
work,0.304790271,0.693913234,0.192295647,0.187079106,0.734449761
back,0.30796869,0.705332751,0.194931774,0.19408446,0.733048259
ive,0.28518381,0.684460715,0.178080074,0.167970921,0.71552795
find,0.2844025,0.693421484,0.178886571,0.168216604,0.69340796
using,0.340264119,0.74341602,0.218119597,0.238637856,0.773307791
might,0.285571268,0.688066878,0.176926655,0.173124436,0.739948119
take,0.287099655,0.694732816,0.178684879,0.175566323,0.730045425
last,0.330483491,0.751830401,0.212230216,0.232386279,0.746338216
system,0.331232092,0.744945908,0.210910418,0.232511087,0.771180787
point,0.314526142,0.728499618,0.197300104,0.21379085,0.774983005
another,0.274177215,0.686700907,0.167959057,0.16619264,0.745867769
years,0.33294083,0.752376789,0.211678832,0.237909943,0.77946244
sure,0.258826486,0.677685499,0.15812097,0.148822426,0.712802768
believe,0.312854031,0.741503661,0.197941555,0.214957683,0.745844875
cant,0.274571805,0.699158562,0.169541165,0.168300544,0.721606648
going,0.285340656,0.701398754,0.175797615,0.18062854,0.757113116
things,0.296547055,0.71615124,0.183971774,0.194941488,0.764131193
help,0.311619718,0.743634575,0.196958457,0.214983349,0.745786517
never,0.283794679,0.708774997,0.175240624,0.181203468,0.745762712
better,0.279940323,0.709922413,0.173212487,0.177119542,0.729328622
doesnt,0.281134075,0.703529669,0.172942135,0.1779658,0.750884643
without,0.278823218,0.702655447,0.171391333,0.175653028,0.747159091
got,0.252355048,0.692110152,0.154986962,0.145900315,0.678800857
email,0.366064159,0.787291006,0.236382755,0.281842059,0.810966811
