,f1,acc,prec,kappa,recall
would,0.496064667,0.611681783,0.395522388,0.212121837,0.665145465
one,0.479742106,0.612009616,0.383641903,0.200236555,0.640078201
like,0.420062231,0.572287182,0.303825956,0.153641451,0.680345572
dont,0.415401821,0.600152989,0.301309538,0.173185824,0.668552327
know,0.398508825,0.568025352,0.280076997,0.146966656,0.690482468
get,0.381933685,0.564091356,0.265539158,0.13571118,0.68
also,0.358568479,0.592612829,0.248243002,0.139205,0.645401053
think,0.38446048,0.59916949,0.260666743,0.176912125,0.732182806
people,0.445536274,0.710195607,0.321611832,0.286830564,0.724829932
time,0.347360913,0.600043711,0.232763771,0.150051922,0.684229013
could,0.334202747,0.581575784,0.220944936,0.133460444,0.685693899
im,0.30602326,0.563107857,0.199682863,0.103965114,0.65466023
use,0.365823389,0.637034204,0.246177566,0.188436245,0.711738484
well,0.32978147,0.59447055,0.216684467,0.140616413,0.689837552
good,0.307788945,0.578516009,0.199464992,0.118586979,0.673605656
even,0.341565425,0.638728008,0.226881863,0.172565791,0.690696738
much,0.303398927,0.574472735,0.193607306,0.121330486,0.700826446
make,0.293702235,0.601081849,0.188994024,0.12182782,0.65856833
way,0.296622614,0.607419954,0.191215449,0.127034978,0.660994764
anyone,0.29729207,0.602994208,0.190955398,0.127195819,0.670886076
see,0.321782664,0.622500273,0.207389599,0.15892512,0.717600701
new,0.291263976,0.591301497,0.184358882,0.123527199,0.693279206
may,0.301994302,0.638564091,0.195652174,0.146254128,0.661581137
first,0.292297043,0.608949842,0.185305918,0.132526225,0.691623772
two,0.278677397,0.593541689,0.174987823,0.117303711,0.683960019
many,0.308684437,0.648562999,0.198014341,0.162263029,0.699805068
want,0.256915861,0.575838706,0.15857261,0.098600449,0.67641129
used,0.268944724,0.602557098,0.167711206,0.116243751,0.678498986
please,0.288762274,0.679433942,0.188598575,0.15147714,0.61582213
us,0.342389998,0.70112556,0.222604346,0.215784812,0.741280583
need,0.255648038,0.589553054,0.157682435,0.103961116,0.675039246
say,0.306238616,0.667030926,0.195465775,0.171229257,0.70677877
right,0.261447563,0.617528139,0.162769312,0.116810714,0.663987138
thanks,0.333374891,0.707846137,0.217045455,0.209989791,0.718430951
since,0.256020785,0.593213856,0.156869949,0.109892951,0.69581749
really,0.239522131,0.57567479,0.145456708,0.092170816,0.677937916
something,0.240562249,0.586711835,0.146436866,0.096250173,0.673412029
still,0.239779794,0.59255819,0.145346681,0.100482877,0.68451688
problem,0.256399132,0.625396132,0.157055541,0.124036946,0.697756789
go,0.240270381,0.594689105,0.145065545,0.104245496,0.699046484
work,0.245382586,0.593705606,0.147763383,0.110425035,0.723086124
back,0.224687933,0.572396459,0.134090103,0.088000809,0.692730605
ive,0.225171979,0.563053218,0.133394559,0.090051795,0.72173913
find,0.237723334,0.610698284,0.143558599,0.10793817,0.690920398
using,0.279633028,0.678231887,0.172945983,0.163970464,0.729885057
might,0.227552537,0.602338542,0.136040609,0.100834454,0.695201038
take,0.22681528,0.609605508,0.136103896,0.100617988,0.680077872
last,0.252016129,0.675663862,0.155424308,0.137203656,0.665778961
system,0.269198414,0.66774123,0.164174729,0.155827855,0.747164777
point,0.249240122,0.649109387,0.1505012,0.133967459,0.72467709
another,0.215514512,0.593869522,0.12725913,0.093755531,0.703168044
years,0.236448997,0.60900448,0.139881328,0.118288253,0.763611303
sure,0.202256165,0.563381051,0.118175455,0.07761682,0.701038062
believe,0.273697917,0.695224566,0.168537524,0.166962633,0.727839335
cant,0.20777605,0.582504644,0.122180222,0.085009581,0.693905817
going,0.212248322,0.589553054,0.125015442,0.090698624,0.702290076
things,0.226423742,0.631133209,0.135453798,0.109930005,0.689462666
help,0.2353226,0.654846465,0.142167617,0.122283511,0.68258427
never,0.219535102,0.63676101,0.131653055,0.103929185,0.660310734
better,0.19830087,0.577204677,0.116183076,0.076426915,0.676325088
doesnt,0.207914298,0.604086985,0.122947641,0.088971002,0.673036093
without,0.226523987,0.64850836,0.136343899,0.11317414,0.669034091
got,0.193802577,0.586329363,0.113892365,0.073061374,0.649536046
email,0.265489168,0.709157469,0.164135813,0.16295814,0.694083694
said,0.257680085,0.693694678,0.157596372,0.153465099,0.706095791
someone,0.189318836,0.584471642,0.110406565,0.073126661,0.66367713
made,0.215546464,0.633318763,0.127718521,0.10532672,0.69011976
read,0.211961503,0.624194077,0.124713496,0.102723437,0.705568268
thing,0.19390231,0.582504644,0.112402153,0.08103944,0.705295472
however,0.212492703,0.631461043,0.125223614,0.104752709,0.701078582
