,f1,acc,prec,kappa,recall
would,0.565828518,0.696208065,0.480058301,0.343472885,0.688914242
one,0.561706853,0.698065785,0.472574403,0.343685812,0.692277615
like,0.503158806,0.686318435,0.393475907,0.299091647,0.69762419
dont,0.497979427,0.701344115,0.387341049,0.309286744,0.697094369
know,0.440449438,0.659873238,0.334151664,0.230146852,0.645926707
get,0.46936286,0.691017375,0.355659841,0.281576595,0.689931034
also,0.450747491,0.706917277,0.336698791,0.2809044,0.681635181
think,0.433131313,0.693366845,0.316644513,0.260098466,0.68520294
people,0.521950654,0.774505519,0.395749166,0.393442685,0.766326531
time,0.438828633,0.717298656,0.31743292,0.285089881,0.710572532
could,0.395903716,0.687356573,0.281151597,0.229801104,0.668926151
im,0.387375976,0.682876188,0.270609055,0.22390386,0.681396212
use,0.429467085,0.721560485,0.307371795,0.281883831,0.712481426
well,0.404656678,0.698229702,0.283107089,0.249512798,0.709104647
good,0.391863194,0.702710086,0.273863459,0.240731472,0.688531029
even,0.429280684,0.729920227,0.300906442,0.292308645,0.748691099
much,0.390172101,0.705715222,0.26871491,0.245270746,0.711983471
make,0.376487054,0.707900776,0.25745733,0.235732459,0.70021692
way,0.385010507,0.712162605,0.26283073,0.246846078,0.719458988
anyone,0.328325713,0.662878374,0.21870921,0.172900213,0.658227848
see,0.397717818,0.723145011,0.272964595,0.263866422,0.732486865
new,0.373530148,0.726368703,0.258438636,0.240569398,0.673432567
may,0.379167191,0.730357338,0.260456274,0.250156921,0.696717522
first,0.387088477,0.739591301,0.266891293,0.262131407,0.704258306
two,0.377086495,0.730849088,0.256759084,0.250770785,0.709662066
many,0.398795496,0.749098459,0.2726459,0.28086033,0.742202729
want,0.331148337,0.698940007,0.218100416,0.199371076,0.6875
used,0.331730176,0.703912141,0.219162457,0.201503415,0.682048682
please,0.353048463,0.728663534,0.235980495,0.231562969,0.700620476
us,0.405321257,0.770407606,0.278328474,0.298022775,0.745445081
need,0.311041238,0.688722544,0.202264863,0.179255778,0.672946102
say,0.371747212,0.741449022,0.248712027,0.256140804,0.735680504
right,0.339914828,0.720522347,0.223865375,0.219010625,0.705787781
thanks,0.378998968,0.736968637,0.249363436,0.265483627,0.789360559
since,0.333375522,0.712217244,0.217326733,0.211745014,0.71537208
really,0.322732919,0.702109059,0.207973103,0.20043208,0.720066519
something,0.317336683,0.703092558,0.204335868,0.195961495,0.70994941
