,0
"vol (vast, foot)",0.9572615170000001
"volt (amplifier, soldered)",0.9572615170000001
"voltage (cautious, scanned)",0.9572615170000001
"volume (fairly, distinguish)",0.9572615170000001
"volumes (expressed, scenario)",0.9572615170000001
"voluntary (demonstrating, explore)",0.9572615170000001
"volvo (aftermarket, horsepower)",0.9572615170000001
"tigers (carter, brady)",0.948673415
"postage (straightforward, engaged)",0.933288166
"povray (animations, pbmplus)",0.932888445
"starters (worthwhile, fame)",0.92920062
"secular (descendants, fundamentalists)",0.9133227159999999
"ring (increasing, behind)",0.9056131359999999
"utterly (des, retain)",0.884248588
"occurring (communicate, contacted)",0.851148968
"single (entire, prove)",0.8443760509999999
"oxygen (speeding, extraordinary)",0.842410792
"widgets (shells, experimentation)",0.842084705
"detecting (pleasure, outputs)",0.818248592
"paying (sample, education)",0.8178477670000001
"dick (sport, reaching)",0.816367658
"meets (ugly, domain)",0.785111012
"denial (jury, regime)",0.7846069179999999
"192 (leading, closest)",0.7776664790000001
"troy (rectangle, attendance)",0.7758315029999999
"ticket (echo, rent)",0.771947376
"revolution (covering, bodies)",0.769072895
"phrase (conclude, drawn)",0.767080023
"sheer (heights, unclear)",0.759199673
"translate (retrieve, outlined)",0.7563841859999999
"movements (balls, winds)",0.751595977
"selling (houses, success)",0.741430138
"logic (others, wish)",0.74139319
"wo (philip, predicting)",0.741160405
"unreliable (publisher, interaction)",0.7397491490000001
"tea (realized, walked)",0.737125902
"243 (184, calendar)",0.7363212579999999
"versus (pound, locked)",0.734392025
"muslim (muslims, cause)",0.729123066
"win (clue, ran)",0.7172275929999999
"temperature (ac, filters)",0.71627365
"1915 (asia, intense)",0.714079348
"forces (fallen, bodies)",0.712789255
"surely (perfect, successful)",0.712090267
"zip (pops, icons)",0.707824758
"swear (apparent, happily)",0.707788788
"0 (75, presumably)",0.707692731
"noise (affect, authorized)",0.702346268
"20th (sucks, minimize)",0.69777439
"510 (capabilities, argue)",0.691674841
"366 (348, 347)",0.691562282
"0 (75, presumably)",0.690354252
"1mb (multitasking, tcpip)",0.689973886
"commit (prohibit, crimes)",0.687727144
"1 (delay, eye)",0.687639386
"5 (bias, stretch)",0.6874076570000001
"109 (148, partners)",0.6872674609999999
"101 (48, pass)",0.6863585459999999
"simplest (simplified, duplicate)",0.68550897
"birth (observation, billion)",0.684009648
"2 (max, 6)",0.680488623
"1939 (bid, wounds)",0.6793515170000001
"wheres (scrutiny, complexity)",0.6791759340000001
"separated (technically, implemented)",0.6769300779999999
"2 (max, 6)",0.6746515409999999
"mercy (hunt, voted)",0.6724426
"temporarily (strictly, normal)",0.672132761
"terminated (solely, stress)",0.672132761
"terminology (deliberately, experimental)",0.672132761
"terrible (reduce, walk)",0.672132761
"applied (application, requests)",0.6714641090000001
"another (intended, control)",0.67073384
"1960s (1969, muscle)",0.66902913
"9 (reducing, displaying)",0.667652252
"42 (38, 36)",0.666495899
"cam (broke, directors)",0.665652967
"3 (significantly, foundation)",0.66390607
"struggle (postal, interaction)",0.6632577510000001
"61 (39, 85)",0.662794389
"40 (128, options)",0.66073988
"12v (wolf, induce)",0.660319101
"930401 (interplanetary, magellan)",0.660152696
"2mb (eps, buggy)",0.658507913
"baby (floor, newspaper)",0.658076322
"4 (joel, victory)",0.657853211
"105 (123, 85)",0.657154814
"wiped (supporting, integration)",0.657046995
"253 (picks, responsibilities)",0.656926201
"arc (functioning, grain)",0.656052171
"8 (clearance, simplified)",0.654926283
"1015 (awesome, represents)",0.654439966
"7 (8, pgp)",0.653851226
"provides (primarily, announce)",0.6521746420000001
"57 (80, 43)",0.6469424020000001
"6 (2, reverse)",0.646170029
"158 (157, 358)",0.646001323
"brightness (blind, passages)",0.645807314
"116 (140, 134)",0.645688609
"126 (121, violations)",0.6433652320000001
"budget (pound, whatsoever)",0.6413815429999999
"advocating (inclusion, offices)",0.641334807
"18th (weekend, modest)",0.6408962220000001
"119 (137, 147)",0.63884136
"savings (assumptions, addressed)",0.638779628
"achieved (tip, sees)",0.637011853
"win31 (kb, arrives)",0.636029958
"1000 (stuff, clearly)",0.633569197
"1100 (space, imho)",0.63281912
"104 (37, 95)",0.632027097
"1994 (emergency, forgive)",0.6311093529999999
"1977 (hunter, bloody)",0.6310282460000001
"allergic (diagnosis, lbs)",0.6303280370000001
"prayers (eighth, biases)",0.629680149
"10 (12, 13)",0.6296112189999999
"114 (74, 127)",0.629574407
"100000 (determine, traded)",0.629314967
"pregnancy (weaknesses, awaiting)",0.627780727
"10000 (italian, upset)",0.627635379
"3x (console, awhile)",0.627478334
"1000000 (provisions, biases)",0.624971347
"102 (106, 103)",0.624412302
"112 (18, couldnt)",0.624315462
"aftermarket (volvo, trunk)",0.6235821220000001
