unsupervised,ndcg,vector space input nnet,ndcg,bow input nnet,0,unsupervised vector diff,,unsupervised bow diff,,,
"0 (4, energy)",0.692751266,"0 (picking, recommend)",0.698609782,"0 (75, presumably)",0.707692731,"0 (75, presumably)",,"0 (75, presumably)",-0.014941465,,-0.005858516
"0 (4, energy)",0.68069899,"0 (picking, recommend)",0.683370316,"0 (75, presumably)",0.690354252,"0 (75, presumably)",,"0 (75, presumably)",-0.009655262,,-0.002671326
"1 (completed, 4)",0.684483415,"1 (rough, packing)",0.690303483,"1 (delay, eye)",0.687639386,"1 (delay, eye)",,"1 (delay, eye)",-0.003155971,,-0.005820068
"10 (12, 25)",0.624747145,"10 (15, 12)",0.629785015,"10 (12, 13)",0.629611219,"10 (12, 13)",,"10 (12, 13)",-0.004864074,,-0.00503787
"100 (80, 20)",0.619173516,"100 (10, per)",0.62469685,"100 (none, 120)",0.608978671,"100 (none, 120)",,"100 (none, 120)",0.010194845,,-0.005523334
"1000 (100, 300)",0.631991679,"1000 (containing, two)",0.636804908,"1000 (stuff, clearly)",0.633569197,"1000 (stuff, clearly)",,"1000 (stuff, clearly)",-0.001577518,,-0.004813229
"10000 (summer, 2000)",0.619897446,"10000 (estimates, limits)",0.624667276,"10000 (italian, upset)",0.627635379,"10000 (italian, upset)",,"10000 (italian, upset)",-0.007737933,,-0.00476983
"100000 (towns, cdc)",0.622499344,"100000 (moon, magnetic)",0.628964641,"100000 (determine, traded)",0.629314967,"100000 (determine, traded)",,"100000 (determine, traded)",-0.006815623,,-0.006465297
"1000000 (edmonton, desperate)",0.618369389,"1000000 (calcium, kidney)",0.62564132,"1000000 (provisions, biases)",0.624971347,"1000000 (provisions, biases)",,"1000000 (provisions, biases)",-0.006601958,,-0.007271931
"101 (115, 117)",0.646267954,"101 (lead, led)",0.660235066,"101 (48, pass)",0.686358546,"101 (48, pass)",,"101 (48, pass)",-0.040090592,,-0.013967112
"1012 (cosmic, birds)",0.597276683,"1012 (255, el)",0.606055123,"1012 (camps, 730)",0.608573334,"1012 (camps, 730)",,"1012 (camps, 730)",-0.011296651,,-0.00877844
"1015 (fatigue, bowl)",0.628038538,"1015 (occasional, vicious)",0.632727716,"1015 (awesome, represents)",0.654439966,"1015 (awesome, represents)",,"1015 (awesome, represents)",-0.026401428,,-0.004689178
"102 (186, 213)",0.62029817,"102 (serving, fool)",0.623660185,"102 (106, 103)",0.624412302,"102 (106, 103)",,"102 (106, 103)",-0.004114132,,-0.003362015
"1020 (210, conferences)",0.594439357,"1020 (fixes, watts)",0.59715057,"1020 (favour, warfare)",0.58499571,"1020 (favour, warfare)",,"1020 (favour, warfare)",0.009443647,,-0.002711213
"1024 (reboot, 213)",0.623070186,"1024 (dumped, fl)",0.630186404,"1024 (640, 4mb)",0.6164918,"1024 (640, 4mb)",,"1024 (640, 4mb)",0.006578386,,-0.007116218
"1024x768 (800x600, svga)",0.576389674,"1024x768 (256k, weights)",0.579802861,"1024x768 (svga, desktop)",0.588626245,"1024x768 (svga, desktop)",,"1024x768 (svga, desktop)",-0.012236571,,-0.003413187
"103 (301, 730)",0.623735374,"103 (incorporate, predicted)",0.626524995,"103 (121, 107)",0.611100029,"103 (121, 107)",,"103 (121, 107)",0.012635345,,-0.002789621
"104 (116, 111)",0.617045832,"104 (microsystems, spain)",0.62705895,"104 (37, 95)",0.632027097,"104 (37, 95)",,"104 (37, 95)",-0.014981265,,-0.010013118
"105 (171, 109)",0.634699862,"105 (agree, closer)",0.651001057,"105 (123, 85)",0.657154814,"105 (123, 85)",,"105 (123, 85)",-0.022454952,,-0.016301195
"106 (118, 1959)",0.598589276,"106 (officials, 347)",0.606221004,"106 (105, 83)",0.613787132,"106 (105, 83)",,"106 (105, 83)",-0.015197856,,-0.007631728
"1069 (mlud, wibbled)",0.593131382,"1069 (mlud, wibbled)",0.602289444,"1069 (mlud, wibbled)",0.610011506,"1069 (mlud, wibbled)",,"1069 (mlud, wibbled)",-0.016880124,,-0.009158062
"107 (117, 102)",0.581054482,"107 (109, oriental)",0.582933127,"107 (109, 151)",0.576352475,"107 (109, 151)",,"107 (109, 151)",0.004702007,,-0.001878645
