,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
alt,"['geoff footage depart newsanswers espionage ' 'inflammation '
 'lookup visualization runtime xserver callback hpux ultrix binaries implements xview openwindows 386sx sunos sparcstation solaris '
 'messenger faiths '
 'n3jxp gebcadredslpittedu calcium chastity bacterial hypotheses '
 'omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '
 'vaginal migraine antibiotic systemic candida gi antibiotics ']",[],['messenger faiths '],[]
comp,"['exploring sumexaimstanfordedu quicktime attendees interpolation photographic raytracing hubble ieee pinouts 701 2600 decoder symmetric telescope deployed telecommunications '
 'iff sco gui '
 'ipx asynchronous rle corel uncompressed 33mhz 2mb mswindows ' 'ole '
 'pbmplus sgis sunview phigs pex colormap pixmap '
 'xdefaults imake xterms transformers r4 makefile openlook debug xor ']",[],['pbmplus sgis sunview phigs pex colormap pixmap '],[]
comp,"['chromium caucasus lebanese dictatorship pathology azerbaijan upright 1914 serdar argic armenians kidney armenian raped armenia fighters sack lebanon '
 'cirrus workgroups hicolor odometer keystrokes sdk readwrite 486dx266 disconnected scrolling porsche blaster truetype heater s3 et4000 oem executables lcd softwares speedstar viper deskjet negotiable oreilly encrypted config cod api prefered compilers emulator 24x '
 'omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '
 'toplevel endif twm mwm olwm xdm '
 'xdefaults imake xterms transformers r4 makefile openlook debug xor '
 'xfactor bagged avengers surfer mutants winini winmarks convex comics marvel lantern 1913 226 rented franks downloading fractal ftpcicaindianaedu communism stacker uploaded cica noninterlaced clh 508 examiner expiration particle orbital vw rename ncd quran arabs fpu ow iici conner jpeg encryption cam israeli jumper bike films fuck employers nsa bds turkish ']",[],['cirrus workgroups hicolor odometer keystrokes sdk readwrite 486dx266 disconnected scrolling porsche blaster truetype heater s3 et4000 oem executables lcd softwares speedstar viper deskjet negotiable oreilly encrypted config cod api prefered compilers emulator 24x '],[]
comp,"['48633 pavement vlb '
 'commited briefing sanctions felony libertarians justifies realise aforementioned goodbye caliber fallacy freeman advisory allegations usefulness '
 'omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '
 'qemm emm386 hernandez 486dx50 com2 brewers uart systemini com1 21a sinless irq 16mb interrupts '
 'uprising 1918 zionists azeris ']",['commited briefing sanctions felony libertarians justifies realise aforementioned goodbye caliber fallacy freeman advisory allegations usefulness '],['qemm emm386 hernandez 486dx50 com2 brewers uart systemini com1 21a sinless irq 16mb interrupts '],[]
comp,"['267 saga warriors defenders pov carnage 357 scripts 362 331 chew robot mp rider cosmic 152 293 367 184 '
 'brent ' 'contamination revs smoother dx '
 'democrats emissions helicopters enforced tribes reign clintons '
 'powerpc assembler 68040 8mb 32k 144k laserjet butcher '
 'rushdie xloadimage dxf povray rainer shading callbacks xterminals animations decs imagewriter truecolor geometric siggraph c650 targa adb macweek foreground spreadsheet lciii pds defaults photoshop 68030 booted win31 latex 80mb v8 contrib 20mhz builder exportlcsmitedu nubus se30 robotics r5 laserwriter x11r4 toolkits grayscale centris basement simm '
 'smuggling imagery acm coordinates propulsion publicdomain ftpuunet publishes ']",[],['democrats emissions helicopters enforced tribes reign clintons '],[]
comp,"['186 369 232 295 ' 'carb bikes reed ' 'stevens '
 'xdefaults imake xterms transformers r4 makefile openlook debug xor '
 'xmotif tvtwm xfree86 ipc xsun polygon xwd r3 launches ']",[],['xmotif tvtwm xfree86 ipc xsun polygon xwd r3 launches '],[]
misc,"['267 saga warriors defenders pov carnage 357 scripts 362 331 chew robot mp rider cosmic 152 293 367 184 '
 'croats provinces aryan bosnians serbian childish anatolia aggression wage antisemitism syria '
 'emerging thugs yanks drawings argues centered handler congressman scholarship esoteric criticized indications advocated aaron dimension entirety critique emotion cohen embarrassed '
 'omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '
 'shalt jesuss circumcision cardinals tongues fellowship ceremonial spirits infected commandment sts dl infectious sinful gentiles cor regulars '
 'sinus nutrition quack doses allergies dietary allergy elevated intake ']",[],['267 saga warriors defenders pov carnage 357 scripts 362 331 chew robot mp rider cosmic 152 293 367 184 '],[]
rec,"['1250 158 263 260 321 ' 'diskettes ' 'exits '
 'rust exterior mercedes automobiles idaho saturn lid alarms orbit 198 regulate '
 'sedan camry saab audi diesel coupe chrysler sho tranny immaculate volvo compartment chevy mustang valves wagon '
 'whalers championship championships barrasso oilers ahl sanderson franchise capitals 348 bruins islanders standings ']",[],['sedan camry saab audi diesel coupe chrysler sho tranny immaculate volvo compartment chevy mustang valves wagon '],[]
rec,"['carb bikes reed ' 'coding '
 'hartill rawlinson tartar plo 1926 tartars cpr caucasian bayonets erzurum memoirs karabag turkeys dro kars occupying coldblooded massacres azeri homeland 1916 '
 'op hewlett '
 'sedan camry saab audi diesel coupe chrysler sho tranny immaculate volvo compartment chevy mustang valves wagon ']",[],['carb bikes reed '],[]
rec,"['baerga beastmaster lf infield padres henderson mjonesdonaldaixkingstonibmcom rickey alomar rbis cy sandberg baseman fielder obp royals rbi bullpen slg hitter palmer '
 'larkin marlins pennant winfield platoon coaching expos homers astros orioles clemens catcher rockies pct innings inning pitched jays yankees batter babe sox phillies mets pitching deficit pitcher batting mlb mediocre '
 'mcwilliams 5173552178 3369591 18084tmibmclmsuedu billboard wk interstellar circumference augustine '
 'stephcsuiucedu stephenson xyz dx2 conditioning martinez fossil cobb valentine bats lopez fielding dodgers 333 boggs 244 milton doubles adjacent tigers harley reds mickey strain macworld willie philly cox metzger pitchers weiss majors butler upstairs daryl shameful holiday earl '
 'xfactor bagged avengers surfer mutants winini winmarks convex comics marvel lantern 1913 226 rented franks downloading fractal ftpcicaindianaedu communism stacker uploaded cica noninterlaced clh 508 examiner expiration particle orbital vw rename ncd quran arabs fpu ow iici conner jpeg encryption cam israeli jumper bike films fuck employers nsa bds turkish ']",[],['larkin marlins pennant winfield platoon coaching expos homers astros orioles clemens catcher rockies pct innings inning pitched jays yankees batter babe sox phillies mets pitching deficit pitcher batting mlb mediocre '],[]
