,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
alt,"(bursts,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (manhattan, beauchaine, bronx, queens, infected, bobbeviceicotekcom, ohms, doses, sank, thereof, meals, listserv, siggraph, nbc, brightness, foods, interpolation, sysadmin, flaming, vii, christmas, wade, restaurant, characterization) 
 (scsi2, cyrix, dma, quicktime, coprocessor, pentium, fpu, 16bit, ohm) 
 ","(celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 ","(bursts,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (manhattan, beauchaine, bronx, queens, infected, bobbeviceicotekcom, ohms, doses, sank, thereof, meals, listserv, siggraph, nbc, brightness, foods, interpolation, sysadmin, flaming, vii, christmas, wade, restaurant, characterization) 
 (scsi2, cyrix, dma, quicktime, coprocessor, pentium, fpu, 16bit, ohm) 
 ",celestial creationist psalm acknowledgement fallacy baptism israelites homosexuals syntax congregation cor shalt husbands scripture psalms commandments resurrection jokes thou publisher sects deed justifiable atheists unconditional atheism moderated tongues documentary arrogance christianity species rigorous religions discarded (
comp,"(gc, phigs, sgis, sunview, spreadsheet, consortium, callbacks, builder, aix, highend, indigo, openlook, gui, xview, decs) 
 (ntsc, dxf, 640x480, tiff, palette, dram, hicolor, 24bit) 
 (pcx, tga, upload) 
 (povray, raytracing) 
 (shading,  
 (tvtwm, olwm, mwm, override) 
 ","(pcx, tga, upload) 
 ","(gc, phigs, sgis, sunview, spreadsheet, consortium, callbacks, builder, aix, highend, indigo, openlook, gui, xview, decs) 
 (ntsc, dxf, 640x480, tiff, palette, dram, hicolor, 24bit) 
 (pcx, tga, upload) 
 (povray, raytracing) 
 (shading,  
 (tvtwm, olwm, mwm, override) 
 ",pcx tga upload (
comp,"(ati, ftpcicaindianaedu) 
 (colormap, oreilly, foreground, jpeg, polygon, pixel, mailer, pixels, cga, scanning, dimensional, discrete, rectangular) 
 (gld,  
 (stacker,  
 (texture,  
 (winini, systemini, cica) 
 (xterminal, xterminals) 
 ",,"(ati, ftpcicaindianaedu) 
 (colormap, oreilly, foreground, jpeg, polygon, pixel, mailer, pixels, cga, scanning, dimensional, discrete, rectangular) 
 (gld,  
 (stacker,  
 (texture,  
 (winini, systemini, cica) 
 (xterminal, xterminals) 
 ",
comp,"(candida, mri, noring, systemic, yeast, vagina, hacker, cray, jumpers, inflammation, empirical, controler, eisa, mds, dat, isdn) 
 (hds,  
 (jumper,  
 (lpt1, irq, chipset, mfm, logitech) 
 (micron,  
 (tseng, orchid, diamond, winmarks, blaster, adaptec, v32bis, s3, dx2, vlb, vram, win31, viper) 
 ","(candida, mri, noring, systemic, yeast, vagina, hacker, cray, jumpers, inflammation, empirical, controler, eisa, mds, dat, isdn) 
 ","(candida, mri, noring, systemic, yeast, vagina, hacker, cray, jumpers, inflammation, empirical, controler, eisa, mds, dat, isdn) 
 (hds,  
 (jumper,  
 (lpt1, irq, chipset, mfm, logitech) 
 (micron,  
 (tseng, orchid, diamond, winmarks, blaster, adaptec, v32bis, s3, dx2, vlb, vram, win31, viper) 
 ",candida mri noring systemic yeast vagina hacker cray jumpers inflammation empirical controler eisa mds dat isdn (
comp,"(centris, lciii) 
 (laserwriter, imagewriter) 
 (macweek,  
 (scsi2, cyrix, dma, quicktime, coprocessor, pentium, fpu, 16bit, ohm) 
 (tseng, orchid, diamond, winmarks, blaster, adaptec, v32bis, s3, dx2, vlb, vram, win31, viper) 
 (wiretaps,  
 ","(laserwriter, imagewriter) 
 ","(centris, lciii) 
 (laserwriter, imagewriter) 
 (macweek,  
 (scsi2, cyrix, dma, quicktime, coprocessor, pentium, fpu, 16bit, ohm) 
 (tseng, orchid, diamond, winmarks, blaster, adaptec, v32bis, s3, dx2, vlb, vram, win31, viper) 
 (wiretaps,  
 ",laserwriter imagewriter (
comp,"(144k,  
 (gc, phigs, sgis, sunview, spreadsheet, consortium, callbacks, builder, aix, highend, indigo, openlook, gui, xview, decs) 
 (stacker,  
 (tvtwm, olwm, mwm, override) 
 (xdm, makefile, r4, xterm, rainer, ow, sco, tab, xsun, xterms, emacs, ipc, mips, xdefaults) 
 ","(144k,  
 (tvtwm, olwm, mwm, override) 
 ","(144k,  
 (gc, phigs, sgis, sunview, spreadsheet, consortium, callbacks, builder, aix, highend, indigo, openlook, gui, xview, decs) 
 (stacker,  
 (tvtwm, olwm, mwm, override) 
 (xdm, makefile, r4, xterm, rainer, ow, sco, tab, xsun, xterms, emacs, ipc, mips, xdefaults) 
 ",144k (tvtwm olwm mwm override)
misc,"(amfm, rust) 
 (diffiehellman, exterior, strips, transmissions, uucp, slots, connector, connectors, 408, jacks, ccd, mint, sb, 1250, cartridge, warranty, vt, forsale) 
 (gld,  
 (proposition,  
 (yankee,  
 ","(diffiehellman, exterior, strips, transmissions, uucp, slots, connector, connectors, 408, jacks, ccd, mint, sb, 1250, cartridge, warranty, vt, forsale) 
 (gld,  
 ","(amfm, rust) 
 (diffiehellman, exterior, strips, transmissions, uucp, slots, connector, connectors, 408, jacks, ccd, mint, sb, 1250, cartridge, warranty, vt, forsale) 
 (gld,  
 (proposition,  
 (yankee,  
 ",diffiehellman exterior strips transmissions uucp slots connector connectors 408 jacks ccd mint sb 1250 cartridge warranty vt forsale (gld)
rec,"(convertible,  
 (proposition,  
 (sedan, camry) 
 (spaceflight, ssto, innovative, jsh, titan, orbits, atlas) 
 (sunroof, pedal, carbs, clutch, throttle, cassette, trajectory, brakes, harley, braking, skate) 
 (tranny,  
 ","(spaceflight, ssto, innovative, jsh, titan, orbits, atlas) 
 ","(convertible,  
 (proposition,  
 (sedan, camry) 
 (spaceflight, ssto, innovative, jsh, titan, orbits, atlas) 
 (sunroof, pedal, carbs, clutch, throttle, cassette, trajectory, brakes, harley, braking, skate) 
 (tranny,  
 ",spaceflight ssto innovative jsh titan orbits atlas (
rec,"(biker,  
 (helmets,  
 (porsche, countersteering, msf) 
 (sunroof, pedal, carbs, clutch, throttle, cassette, trajectory, brakes, harley, braking, skate) 
 (techniciandr, 8177, newbie) 
 (tyre, 171, attendees, votes, evans, frames, cluster, rider, axe, inferior, stones, sunos, riding, bikers, consumed, lane) 
 ","(porsche, countersteering, msf) 
 ","(biker,  
 (helmets,  
 (porsche, countersteering, msf) 
 (sunroof, pedal, carbs, clutch, throttle, cassette, trajectory, brakes, harley, braking, skate) 
 (techniciandr, 8177, newbie) 
 (tyre, 171, attendees, votes, evans, frames, cluster, rider, axe, inferior, stones, sunos, riding, bikers, consumed, lane) 
 ",porsche countersteering msf (
rec,"(80ns,  
 (fielding, winfield, baerga, defensively, uniforms, obp, batting, rbis, ruth, sandberg) 
 (gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (god, car, drive, people, would, dont, game, university, one, apr, church, like, key, christ, jews, 2b, government, know, get, im, email, think, use, team, 1st, israel, file, greek, also, year, anyone, mary, time, gun, data, jesus, water, right, could, messageid, space, please, law, even, bible, using, power, problem, new, help, ive, well, want, two, make, miles, may, much, 37, good, years, way, used, san, tax, science, fire, running, really, price, said, evidence, guns, last, complains, something, compound, 2000, hard, since, work, back, cars, information, children, going, human, mission, money, us, book, internet, play, see, run, system, women, gods, first, believe, phone, catholic, gas, need, point, fact, available, germany, didnt, sin, condition, war, pain, christian, christians, things, teams, tv, radio, period, error, however, doesnt, offer, population, los, cant, religion, someone, advance, say, male, better, secure, world, public, etc, security, never, 1993, got, jewish, shot, sacred, read, around, many, code, thing, interested, april, books, state, faith, research, win, set, probably, st, beliefs, control, fast, seems, send, universe, might, looking, sure, version, appreciated, sell, 10, buy, still, without, men, take, rate, different, best, function, rights, copies, bit, york, little, hit, enough, average, every, post, able, 16, bought, keep, killed, lot, taste, reason, id, find, go, entry, made, de, truth, medical, 30, russian, package, true, info, given, second, 1000, lost, far, man, performance, society, pay, person, 11, laws, give, cost, anything, national, case, general, must, louis, child, high, cannot, political, million, actually, president, canada, old, points, existence, thats, told, systems, hospital, states, history, mail, 36, life, found, come, american, economic, seen, least, original, quality, long, ago, army, bad, 151, great, united, day, voice, another, die, ball, place, 25, seem, vs, though, oil, number, divine, country, washington, defensive, school, support, trying, wrong, several, earth, division, example, series, town, isnt, newsgroup, sun, put, came, look, tell, went, 20, part, line, private, convert, 50, bob, heat, questions, course, maybe, free, boston, per, text, access, real, goal, mean, argument, area, question, 2nd, else, military, feel, youre, press, members, 29, doctrine, possible, 35, less, love, call, food, saying, others, low, nice, heard, health, home, hes, context, programs) 
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 (umpires, umpire, 3b, viola, innings, cy, lopez, willie, batter, valentine, pitcher, beastmaster, clemens, pitched, alomar, mlb, jays, bullpen, catcher, inning) 
 ","(god, car, drive, people, would, dont, game, university, one, apr, church, like, key, christ, jews, 2b, government, know, get, im, email, think, use, team, 1st, israel, file, greek, also, year, anyone, mary, time, gun, data, jesus, water, right, could, messageid, space, please, law, even, bible, using, power, problem, new, help, ive, well, want, two, make, miles, may, much, 37, good, years, way, used, san, tax, science, fire, running, really, price, said, evidence, guns, last, complains, something, compound, 2000, hard, since, work, back, cars, information, children, going, human, mission, money, us, book, internet, play, see, run, system, women, gods, first, believe, phone, catholic, gas, need, point, fact, available, germany, didnt, sin, condition, war, pain, christian, christians, things, teams, tv, radio, period, error, however, doesnt, offer, population, los, cant, religion, someone, advance, say, male, better, secure, world, public, etc, security, never, 1993, got, jewish, shot, sacred, read, around, many, code, thing, interested, april, books, state, faith, research, win, set, probably, st, beliefs, control, fast, seems, send, universe, might, looking, sure, version, appreciated, sell, 10, buy, still, without, men, take, rate, different, best, function, rights, copies, bit, york, little, hit, enough, average, every, post, able, 16, bought, keep, killed, lot, taste, reason, id, find, go, entry, made, de, truth, medical, 30, russian, package, true, info, given, second, 1000, lost, far, man, performance, society, pay, person, 11, laws, give, cost, anything, national, case, general, must, louis, child, high, cannot, political, million, actually, president, canada, old, points, existence, thats, told, systems, hospital, states, history, mail, 36, life, found, come, american, economic, seen, least, original, quality, long, ago, army, bad, 151, great, united, day, voice, another, die, ball, place, 25, seem, vs, though, oil, number, divine, country, washington, defensive, school, support, trying, wrong, several, earth, division, example, series, town, isnt, newsgroup, sun, put, came, look, tell, went, 20, part, line, private, convert, 50, bob, heat, questions, course, maybe, free, boston, per, text, access, real, goal, mean, argument, area, question, 2nd, else, military, feel, youre, press, members, 29, doctrine, possible, 35, less, love, call, food, saying, others, low, nice, heard, health, home, hes, context, programs) 
 ","(80ns,  
 (fielding, winfield, baerga, defensively, uniforms, obp, batting, rbis, ruth, sandberg) 
 (gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (god, car, drive, people, would, dont, game, university, one, apr, church, like, key, christ, jews, 2b, government, know, get, im, email, think, use, team, 1st, israel, file, greek, also, year, anyone, mary, time, gun, data, jesus, water, right, could, messageid, space, please, law, even, bible, using, power, problem, new, help, ive, well, want, two, make, miles, may, much, 37, good, years, way, used, san, tax, science, fire, running, really, price, said, evidence, guns, last, complains, something, compound, 2000, hard, since, work, back, cars, information, children, going, human, mission, money, us, book, internet, play, see, run, system, women, gods, first, believe, phone, catholic, gas, need, point, fact, available, germany, didnt, sin, condition, war, pain, christian, christians, things, teams, tv, radio, period, error, however, doesnt, offer, population, los, cant, religion, someone, advance, say, male, better, secure, world, public, etc, security, never, 1993, got, jewish, shot, sacred, read, around, many, code, thing, interested, april, books, state, faith, research, win, set, probably, st, beliefs, control, fast, seems, send, universe, might, looking, sure, version, appreciated, sell, 10, buy, still, without, men, take, rate, different, best, function, rights, copies, bit, york, little, hit, enough, average, every, post, able, 16, bought, keep, killed, lot, taste, reason, id, find, go, entry, made, de, truth, medical, 30, russian, package, true, info, given, second, 1000, lost, far, man, performance, society, pay, person, 11, laws, give, cost, anything, national, case, general, must, louis, child, high, cannot, political, million, actually, president, canada, old, points, existence, thats, told, systems, hospital, states, history, mail, 36, life, found, come, american, economic, seen, least, original, quality, long, ago, army, bad, 151, great, united, day, voice, another, die, ball, place, 25, seem, vs, though, oil, number, divine, country, washington, defensive, school, support, trying, wrong, several, earth, division, example, series, town, isnt, newsgroup, sun, put, came, look, tell, went, 20, part, line, private, convert, 50, bob, heat, questions, course, maybe, free, boston, per, text, access, real, goal, mean, argument, area, question, 2nd, else, military, feel, youre, press, members, 29, doctrine, possible, 35, less, love, call, food, saying, others, low, nice, heard, health, home, hes, context, programs) 
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 (umpires, umpire, 3b, viola, innings, cy, lopez, willie, batter, valentine, pitcher, beastmaster, clemens, pitched, alomar, mlb, jays, bullpen, catcher, inning) 
 ",god car drive people would dont game university one apr church like key christ jews 2b government know get im email think use team 1st israel file greek also year anyone mary time gun data jesus water right could messageid space please law even bible using power problem new help ive well want two make miles may much 37 good years way used san tax science fire running really price said evidence guns last complains something compound 2000 hard since work back cars information children going human mission money us book internet play see run system women gods first believe phone catholic gas need point fact available germany didnt sin condition war pain christian christians things teams tv radio period error however doesnt offer population los cant religion someone advance say male better secure world public etc security never 1993 got jewish shot sacred read around many code thing interested april books state faith research win set probably st beliefs control fast seems send universe might looking sure version appreciated sell 10 buy still without men take rate different best function rights copies bit york little hit enough average every post able 16 bought keep killed lot taste reason id find go entry made de truth medical 30 russian package true info given second 1000 lost far man performance society pay person 11 laws give cost anything national case general must louis child high cannot political million actually president canada old points existence thats told systems hospital states history mail 36 life found come american economic seen least original quality long ago army bad 151 great united day voice another die ball place 25 seem vs though oil number divine country washington defensive school support trying wrong several earth division example series town isnt newsgroup sun put came look tell went 20 part line private convert 50 bob heat questions course maybe free boston per text access real goal mean argument area question 2nd else military feel youre press members 29 doctrine possible 35 less love call food saying others low nice heard health home hes context programs (
