,f1,acc,prec,kappa,recall
4,0.748414376,0.74186551,0.728395062,0.483791744,0.769565217
ball,0.759566787,0.759219089,0.754662841,0.518457564,0.764534884
pier,0.762508809,0.756326826,0.740082079,0.512794513,0.786337209
death,0.758280479,0.751988431,0.734972678,0.504165844,0.783114993
alone,0.733333333,0.722342733,0.701195219,0.445006678,0.768558952
poland,0.733711048,0.72812726,0.714482759,0.456425888,0.754002911
sunday,0.75764037,0.753434563,0.740277778,0.507001352,0.775836972
speed,0.7764541,0.76934201,0.748648649,0.538894481,0.806404658
harbor,0.768136558,0.76428055,0.751043115,0.528683075,0.786026201
stream,0.80758427,0.801879971,0.780189959,0.603929537,0.836972344
mount,0.76056338,0.754157628,0.735694823,0.508555495,0.787172012
fountain,0.769892473,0.767895879,0.757404795,0.535885177,0.782798834
southwest,0.739495798,0.731019523,0.711590296,0.462351343,0.7696793
game,0.750902527,0.750542299,0.742857143,0.501142239,0.759124088
bush,0.768361582,0.762834418,0.743169399,0.525969955,0.795321637
nederland,0.740370899,0.736804049,0.722841226,0.4738268,0.75877193
drawing,0.744388125,0.744757773,0.737446198,0.48955958,0.751461988
main,0.734870317,0.733911786,0.723404255,0.467951251,0.74670571
400,0.756183746,0.750542299,0.730874317,0.501443524,0.783308931
fly,0.776371308,0.770065076,0.746955345,0.54051812,0.808199122
austin,0.723809524,0.727404194,0.724340176,0.454716304,0.723279649
norway,0.744250871,0.734634852,0.710106383,0.469839864,0.781844802
grain,0.757446809,0.752711497,0.733516484,0.50578138,0.782991202
pole,0.761972838,0.759219089,0.743375174,0.518682022,0.781524927
rose,0.766261615,0.763557484,0.747559275,0.527354418,0.785923754
boats,0.788447653,0.788141721,0.775568182,0.576399713,0.801762115
board,0.708274895,0.699204628,0.677852349,0.399115166,0.741556535
birthday,0.740528949,0.737527115,0.721448468,0.47535952,0.760646109
plane,0.754609929,0.749819234,0.727770178,0.500154596,0.783505155
analogue,0.741218638,0.738973247,0.721059972,0.478322064,0.762536873
sidewalk,0.774945375,0.776572668,0.765467626,0.553189487,0.784660767
greece,0.728448276,0.726681128,0.710084034,0.453709277,0.747787611
tracks,0.763456091,0.758496023,0.734332425,0.517570904,0.794985251
estate,0.755072464,0.75560376,0.742165242,0.511352375,0.768436578
angeles,0.733044733,0.732465654,0.717514124,0.465180447,0.749262537
francisco,0.740474479,0.738973247,0.721288515,0.47830244,0.76070901
dirty,0.734177215,0.726681128,0.700671141,0.454247643,0.771048744
plastic,0.733574007,0.73318872,0.716502116,0.466679974,0.75147929
boys,0.737588652,0.732465654,0.708446866,0.465667428,0.769230769
polaroid,0.76217765,0.759942155,0.738888889,0.520327445,0.786982249
glasses,0.757337151,0.754880694,0.732686981,0.510276795,0.783703704
philadelphia,0.738751814,0.739696312,0.723011364,0.479630679,0.755192878
union,0.750913075,0.753434563,0.739568345,0.506932283,0.762611276
coffee,0.759219089,0.759219089,0.740479549,0.518746401,0.778931751
paper,0.720797721,0.716558207,0.692202462,0.433981412,0.751857355
round,0.737669764,0.734634852,0.709766162,0.470036931,0.767857143
mono,0.747159091,0.742588576,0.714673913,0.486109719,0.782738095
va,0.731671554,0.735357918,0.721098266,0.470726627,0.742559524
studio,0.75862069,0.762111352,0.747109827,0.524232903,0.770491803
mywinners,0.7821711,0.780911063,0.755555556,0.562356856,0.810730253
scan,0.738179252,0.731742589,0.700133869,0.464820685,0.780597015
copyright,0.719183078,0.721619667,0.703281027,0.443477052,0.735820896
movie,0.738528769,0.740419378,0.721194879,0.481107062,0.756716418
postcard,0.749096168,0.749096168,0.725490196,0.498723047,0.774289985
tennessee,0.749816581,0.753434563,0.735251799,0.506953934,0.76497006
with,0.725418791,0.727404194,0.706382979,0.455169863,0.745508982
waves,0.785033015,0.788141721,0.769784173,0.576356312,0.800898204
super,0.739531583,0.734634852,0.703103914,0.470557678,0.77994012
tunnel,0.768678161,0.767172813,0.737931034,0.53514352,0.802098951
clock,0.767662054,0.76934201,0.744350282,0.539105471,0.792481203
commercial,0.742446043,0.741142444,0.711724138,0.48324427,0.77593985
d5000,0.742898762,0.744757773,0.71932299,0.4900288,0.768072289
machine,0.730906495,0.727404194,0.694708277,0.456231286,0.771084337
feet,0.755395683,0.754157628,0.723140496,0.509288885,0.790662651
northcarolina,0.719298246,0.722342733,0.69787234,0.445131928,0.742081448
ride,0.759206799,0.754157628,0.715620828,0.50999456,0.808446456
camp,0.725574713,0.723788865,0.692729767,0.44880968,0.761689291
anawesomeshot,0.779220779,0.778741866,0.745856354,0.558369214,0.81570997
philippines,0.707692308,0.711496746,0.686079545,0.423453177,0.730711044
stones,0.796783626,0.798987708,0.770862801,0.598372489,0.824508321
famous,0.754966887,0.759219089,0.73495702,0.51863775,0.776096823
human,0.716157205,0.718004338,0.690042076,0.436781057,0.744326778
german,0.750737463,0.75560376,0.732374101,0.511316616,0.770045386
aplusphoto,0.770348837,0.771511208,0.740223464,0.543758769,0.803030303
factory,0.738660907,0.737527115,0.703703704,0.476347831,0.777272727
by,0.744117647,0.748373102,0.721825963,0.497070939,0.767830046
alberta,0.722021661,0.721619667,0.687757909,0.444620605,0.759878419
md,0.727536232,0.72812726,0.695290859,0.457413908,0.762917933
overcast,0.755714286,0.752711497,0.711978466,0.507253896,0.805175038
poster,0.732142857,0.739696312,0.716157205,0.479223542,0.748858447
artistic,0.738060781,0.738250181,0.703448276,0.477762618,0.776255708
zoom,0.735229759,0.737527115,0.705882353,0.475905029,0.767123288
richmond,0.740145985,0.742588576,0.711079944,0.485974517,0.771689498
ruin,0.760147601,0.765003615,0.73782235,0.530227541,0.783866058
james,0.744868035,0.748373102,0.717514124,0.497361924,0.774390244
5,0.731707317,0.737527115,0.710186514,0.475268491,0.754573171
fishing,0.762331839,0.770065076,0.74670571,0.539831583,0.778625954
chairs,0.764094955,0.770065076,0.743145743,0.5401828,0.786259542
eastern,0.732600733,0.736080983,0.704225352,0.472906301,0.763358779
houston,0.711839166,0.720173536,0.694767442,0.440197513,0.729770992
xsi,0.72780631,0.731742589,0.700564972,0.464160059,0.757251908
manchester,0.748180495,0.749819234,0.713888889,0.500754318,0.785932722
unique,0.716245487,0.715835141,0.678522572,0.433425379,0.758409786
jersey,0.737151248,0.741142444,0.708039492,0.483013328,0.768759571
legs,0.749069248,0.756326826,0.728985507,0.512594786,0.770290965
cruise,0.737151248,0.741142444,0.708039492,0.483013328,0.768759571
urbex,0.765864333,0.767895879,0.731197772,0.536780104,0.803981623
route,0.767323122,0.76934201,0.731571627,0.539729603,0.806748466
lomography,0.739766082,0.742588576,0.706703911,0.486216972,0.77607362
attraction,0.75,0.75560376,0.723252496,0.511600499,0.778801843
allrightsreserved,0.727002967,0.733911786,0.703012912,0.468071364,0.752688172
ghost,0.740634006,0.739696312,0.696476965,0.481485184,0.790769231
wine,0.753131909,0.757772957,0.722772277,0.51619674,0.786153846
1855mm,0.721859114,0.723065799,0.68175583,0.448014656,0.766975309
guy,0.744493392,0.748373102,0.710084034,0.497774188,0.782407407
wire,0.738284066,0.737527115,0.692828146,0.477312835,0.790123457
living,0.720947446,0.727404194,0.692745377,0.455378155,0.75154321
temple,0.754098361,0.761388286,0.729106628,0.522885082,0.780864198
tall,0.769456681,0.772957339,0.733893557,0.546842227,0.808641975
tv,0.739520958,0.748373102,0.716981132,0.496629091,0.763523957
350d,0.749627422,0.757049892,0.723741007,0.514257999,0.777434312
fresh,0.739766082,0.742588576,0.701803051,0.48658665,0.782071097
pro,0.714918759,0.720896602,0.684582744,0.442597241,0.748068006
lonely,0.731213873,0.731019523,0.686567164,0.464307357,0.782071097
holga,0.770131772,0.772957339,0.730555556,0.547142777,0.814241486
austria,0.782608696,0.790310918,0.75872093,0.580482121,0.808049536
sf,0.727002967,0.733911786,0.697012802,0.468418051,0.759689922
concert,0.765861027,0.775849602,0.746686303,0.551153602,0.786046512
brasil,0.712990937,0.725234996,0.695139912,0.44980119,0.731782946
stop,0.713749061,0.724511931,0.691411936,0.448777457,0.73757764
streets,0.778533636,0.788141721,0.758468336,0.575756656,0.799689441
journey,0.742313324,0.745480839,0.702216066,0.492499286,0.787267081
lost,0.734693878,0.736804049,0.691358025,0.475602668,0.783825816
amsterdam,0.750551876,0.754880694,0.712290503,0.510976603,0.793157076
fl,0.719285182,0.727404194,0.69,0.455278013,0.751166407
quebec,0.723372781,0.729573391,0.688732394,0.460180593,0.761682243
dream,0.757352941,0.761388286,0.717270195,0.524082138,0.802180685
calm,0.772727273,0.78308026,0.752212389,0.565553378,0.794392523
xti,0.724723247,0.730296457,0.688639551,0.461790786,0.764797508
streetphotography,0.766467066,0.774403471,0.736690647,0.548973657,0.79875195
quiet,0.745441284,0.747650036,0.699042408,0.497438081,0.7984375
finland,0.722713864,0.72812726,0.684357542,0.457685521,0.765625
midwest,0.714285714,0.725234996,0.688405797,0.4503812,0.7421875
good,0.724743777,0.72812726,0.68088033,0.458365623,0.774647887
army,0.736445783,0.74692697,0.709724238,0.493714974,0.765258216
wave,0.753753754,0.762834418,0.724386724,0.52574694,0.785602504
waterfall,0.765827613,0.7780188,0.74702381,0.555085052,0.785602504
russia,0.71969697,0.732465654,0.697503671,0.464313755,0.743348983
yard,0.770941438,0.776572668,0.732394366,0.554051135,0.813771518
