,f1,acc,prec,kappa,recall
4,0.756240822,0.759942155,0.766369048,0.519854939,0.746376812
ball,0.76077266,0.767172813,0.778115502,0.534231417,0.744186047
pier,0.760393046,0.770788142,0.792125984,0.541386622,0.731104651
death,0.77149155,0.775126537,0.778931751,0.550178992,0.76419214
alone,0.768545994,0.774403471,0.78366112,0.548677398,0.754002911
poland,0.749816581,0.753434563,0.75591716,0.506797183,0.743813683
sunday,0.77317257,0.782357195,0.8015625,0.564503322,0.746724891
speed,0.760690173,0.76934201,0.784829721,0.538486403,0.737991266
harbor,0.745038168,0.758496023,0.783306581,0.516680478,0.710334789
stream,0.805596465,0.809110629,0.815201192,0.61814759,0.796215429
mount,0.773273273,0.781634129,0.797213622,0.563039575,0.750728863
fountain,0.7397882,0.751265365,0.768867925,0.502212959,0.712827988
southwest,0.726726727,0.736804049,0.749226006,0.473332468,0.705539359
game,0.7239819,0.735357918,0.748829953,0.470352249,0.700729927
bush,0.759493671,0.766449747,0.773899848,0.532661266,0.745614035
nederland,0.751677852,0.759219089,0.767123288,0.518177453,0.736842105
drawing,0.756515264,0.763557484,0.770864947,0.52687379,0.742690058
main,0.729182296,0.738973247,0.747692308,0.477561087,0.711566618
400,0.757910228,0.762111352,0.76183432,0.524091578,0.754026354
fly,0.783722683,0.792480116,0.807453416,0.584609492,0.761346999
austin,0.734966592,0.74186551,0.745481928,0.483478523,0.724743777
norway,0.765432099,0.766449747,0.759365994,0.532920251,0.7715959
grain,0.757121439,0.765726681,0.774539877,0.531085377,0.740469208
pole,0.753579503,0.763557484,0.775193798,0.526677698,0.73313783
rose,0.767951625,0.7780188,0.7925117,0.555591725,0.744868035
boats,0.764165391,0.777295734,0.7984,0.55394011,0.732745962
board,0.74095941,0.746203905,0.744807122,0.492212679,0.737151248
birthday,0.75888133,0.76934201,0.781931464,0.538182047,0.737151248
plane,0.76011994,0.768618944,0.774045802,0.536795921,0.746686303
analogue,0.740074906,0.749096168,0.751902588,0.497703088,0.728613569
sidewalk,0.738415546,0.74692697,0.748484848,0.493403412,0.728613569
greece,0.745913819,0.752711497,0.751497006,0.505094642,0.740412979
tracks,0.77877429,0.785972523,0.789393939,0.571564029,0.768436578
estate,0.771822358,0.784526392,0.802547771,0.56827881,0.743362832
angeles,0.732516222,0.731742589,0.716502116,0.463750121,0.749262537
francisco,0.720720721,0.731019523,0.732824427,0.461442961,0.70901034
dirty,0.762472077,0.76934201,0.768768769,0.538327028,0.756277696
