,f1,acc,prec,kappa,recall
4,0.398406375,0.563268257,0.636942675,0.125500936,0.289855072
ball,0.488046167,0.550976139,0.563809524,0.100856489,0.430232558
pier,0.451492537,0.57483731,0.630208333,0.147756426,0.351744186
death,0.193548387,0.493853941,0.464088398,-0.017178881,0.122270742
alone,0.636231884,0.637020969,0.633477633,0.274052185,0.639010189
poland,0.54439834,0.603036876,0.633204633,0.204775326,0.477438137
sunday,0.586074981,0.608821403,0.617741935,0.217116023,0.557496361
speed,0.539018504,0.585683297,0.602517986,0.170308598,0.487627365
harbor,0.623487544,0.617498192,0.610027855,0.235187119,0.637554585
stream,0.350730689,0.550253073,0.619926199,0.096932477,0.244541485
mount,0.56984127,0.608098337,0.62543554,0.21513593,0.523323615
fountain,0.59766537,0.626174982,0.641068447,0.251553656,0.559766764
southwest,0.531479967,0.585683297,0.605214153,0.169891426,0.473760933
game,0.544642857,0.557483731,0.55538695,0.114576294,0.534306569
bush,0.430707876,0.587129429,0.677115987,0.169406063,0.315789474
nederland,0.574879227,0.618221258,0.639784946,0.23484034,0.521929825
drawing,0.537142857,0.590021692,0.608133087,0.178103255,0.480994152
main,0.512059369,0.61966739,0.698734177,0.235304382,0.404099561
400,0.67916042,0.690527838,0.695852535,0.380609759,0.663250366
fly,0.574485597,0.626174982,0.656015038,0.250224143,0.510980966
austin,0.12755102,0.505422993,0.495049505,0.000352951,0.073206442
norway,0.57660626,0.628344179,0.65913371,0.254561585,0.512445095
grain,0.525968673,0.584237166,0.600753296,0.16581436,0.467741935
pole,0.620532319,0.639190166,0.644549763,0.277540663,0.598240469
rose,0.555900621,0.586406363,0.590759076,0.171405229,0.524926686
boats,0.676119403,0.686189443,0.687405159,0.371930662,0.665198238
board,0.489256198,0.553145336,0.559546314,0.103090252,0.434654919
birthday,0.48030303,0.503976862,0.496087637,0.006808746,0.465491924
plane,0.422476587,0.598698482,0.719858156,0.18871227,0.298969072
analogue,0.662004662,0.685466377,0.699507389,0.369464122,0.628318584
sidewalk,0.591766724,0.65582068,0.706967213,0.307663669,0.508849558
greece,0.582101167,0.611713666,0.616144975,0.221570274,0.551622419
tracks,0.607555898,0.631959508,0.636510501,0.262409274,0.581120944
estate,0.352051836,0.566160521,0.657258065,0.121318975,0.240412979
angeles,0.496990542,0.577006508,0.595876289,0.149051978,0.426253687
francisco,0.456834532,0.563268257,0.583908046,0.119689411,0.375184638
dirty,0.497175141,0.549530007,0.548042705,0.095508136,0.454948301
plastic,0.559743384,0.603036876,0.611208406,0.202960501,0.516272189
boys,0.450909091,0.563268257,0.58490566,0.118896432,0.366863905
polaroid,0.051282051,0.491684743,0.292307692,-0.037704272,0.028106509
glasses,0.408703879,0.548083876,0.565445026,0.086410867,0.32
philadelphia,0.46781505,0.575560376,0.601398601,0.142886554,0.382789318
union,0.603047314,0.64208243,0.656195462,0.281046884,0.557863501
coffee,0.533143264,0.526391902,0.51303155,0.054081994,0.554896142
paper,0.548890715,0.603036876,0.613970588,0.20151711,0.49628529
round,0.489833641,0.600867679,0.646341463,0.19246514,0.394345238
mono,0.61196319,0.634128706,0.631329114,0.266477573,0.59375
va,0.369588173,0.568329718,0.636363636,0.121742238,0.260416667
studio,0.562798092,0.602313811,0.60306644,0.201048253,0.52757079
mywinners,0.552495697,0.624005785,0.653767821,0.241491619,0.478390462
scan,0.534351145,0.603036876,0.618860511,0.199505112,0.470149254
copyright,0.619865571,0.631959508,0.620328849,0.263173595,0.619402985
movie,0.40655106,0.554591468,0.573369565,0.096034311,0.314925373
postcard,0.668097282,0.664497469,0.640603567,0.330176863,0.698056801
tennessee,0.610169492,0.617498192,0.600870827,0.234902382,0.619760479
with,0.561432059,0.610267534,0.614973262,0.215503714,0.516467066
waves,0.58277027,0.642805495,0.668604651,0.279395757,0.516467066
super,0.389051808,0.548083876,0.56056338,0.080969327,0.297904192
tunnel,0.4,0.581344902,0.647651007,0.145460871,0.289355322
clock,0.431413613,0.607375271,0.710344828,0.196880431,0.309774436
commercial,0.508634223,0.54736081,0.532019704,0.090563588,0.487218045
d5000,0.572982774,0.659436009,0.719817768,0.30883531,0.475903614
machine,0.295227525,0.540853218,0.561181435,0.057059292,0.200301205
feet,0.54950495,0.605206074,0.607664234,0.203841628,0.501506024
northcarolina,0.515962036,0.594360087,0.602822581,0.179155545,0.450980392
ride,0.538021259,0.591467824,0.5875,0.176481189,0.496229261
camp,0.444444444,0.584237166,0.61827957,0.152332345,0.346907994
anawesomeshot,0.456483126,0.557483731,0.55387931,0.102369019,0.388217523
philippines,0.493006993,0.580621837,0.583850932,0.149938641,0.426626324
stones,0.655714286,0.651482285,0.621109608,0.305070045,0.694402421
famous,0.348290598,0.558929863,0.592727273,0.093784978,0.246596067
human,0.512214342,0.55242227,0.534539474,0.100051406,0.491679274
german,0.363233666,0.584237166,0.67768595,0.143929811,0.248108926
aplusphoto,0.56284585,0.600144613,0.588429752,0.195706151,0.539393939
factory,0.632768362,0.671005061,0.677029361,0.33709733,0.593939394
by,0.242068155,0.53362256,0.536458333,0.034465627,0.15629742
alberta,0.430426716,0.556037599,0.552380952,0.094858627,0.352583587
md,0.361370717,0.555314534,0.570491803,0.085876819,0.26443769
overcast,0.490367776,0.579175705,0.577319588,0.145622102,0.426179604
poster,0.460723742,0.558206797,0.548319328,0.102458376,0.397260274
artistic,0.451914099,0.575560376,0.584541063,0.133777637,0.368340944
zoom,0.036879433,0.509038322,0.270833333,-0.029732121,0.01978691
richmond,0.468550593,0.578452639,0.584090909,0.141324038,0.391171994
ruin,0.414285714,0.584960231,0.628482972,0.1472482,0.308980213
james,0.567111111,0.647866956,0.680170576,0.283905004,0.486280488
5,0.380252101,0.573391179,0.611486486,0.120972051,0.275914634
fishing,0.56320837,0.637744035,0.656504065,0.264284372,0.493129771
chairs,0.618693135,0.666666667,0.675090253,0.326261985,0.570992366
eastern,0.090410959,0.519884309,0.44,-0.007650273,0.050381679
houston,0.357771261,0.52494577,0.497282609,0.025836015,0.279389313
xsi,0.592476489,0.624005785,0.608695652,0.243942901,0.577099237
manchester,0.512367491,0.600867679,0.606694561,0.18814206,0.443425076
unique,0.639455782,0.655097614,0.632286996,0.308975894,0.646788991
jersey,0.577453366,0.623282719,0.613793103,0.239740272,0.54517611
legs,0.490842491,0.597975416,0.61047836,0.179265281,0.410413476
cruise,0.591342627,0.59725235,0.567605634,0.195702722,0.617151608
urbex,0.487272727,0.592190889,0.599552573,0.168003174,0.410413476
route,0.505300353,0.595083153,0.595833333,0.175765935,0.438650307
lomography,0.379126731,0.578452639,0.620209059,0.127760066,0.273006135
attraction,0.418803419,0.606652205,0.687719298,0.185253049,0.301075269
allrightsreserved,0.476190476,0.594360087,0.607142857,0.169625399,0.391705069
ghost,0.505979761,0.611713666,0.629290618,0.205887165,0.423076923
wine,0.55304929,0.613159798,0.60511883,0.216493655,0.509230769
1855mm,0.671862822,0.695589299,0.678740157,0.388033159,0.665123457
guy,0.434134217,0.506146059,0.468694097,0.000241317,0.404320988
wire,0.612341772,0.645697758,0.628246753,0.286494921,0.597222222
living,0.49499545,0.598698482,0.603104213,0.179444336,0.419753086
temple,0.367934224,0.555314534,0.550769231,0.079953789,0.276234568
tall,0.6296875,0.657266811,0.637658228,0.310803139,0.62191358
tv,0.511469839,0.584237166,0.567924528,0.155786112,0.465224111
350d,0.534798535,0.632682574,0.656179775,0.248116986,0.451313756
fresh,0.531152648,0.564714389,0.535321821,0.124990804,0.527047913
pro,0.478899083,0.589298626,0.589164786,0.159151727,0.403400309
lonely,0.541702494,0.614605929,0.610465116,0.216413936,0.486862442
holga,0.607843137,0.652928416,0.643598616,0.298278253,0.575851393
austria,0.589684373,0.614605929,0.586523737,0.226377748,0.592879257
sf,0.528462192,0.598698482,0.584586466,0.184751957,0.482170543
concert,0.579778831,0.615328995,0.590982287,0.22534713,0.568992248
brasil,0.544850498,0.603759942,0.586762075,0.19717549,0.508527132
stop,0.596967279,0.634851772,0.614121511,0.263669114,0.580745342
streets,0.49126035,0.600144613,0.602708804,0.18004861,0.414596273
journey,0.0875513,0.517715112,0.367816092,-0.026191517,0.049689441
lost,0.437735849,0.569052784,0.556354916,0.113421489,0.360808709
amsterdam,0.482155863,0.485900217,0.453424658,-0.024200092,0.514774495
fl,0.482463644,0.562545192,0.536121673,0.110153133,0.438569207
quebec,0.211464968,0.55242227,0.58041958,0.050957659,0.129283489
dream,0.670640835,0.680404917,0.642857143,0.361371771,0.700934579
calm,0.294238683,0.503976862,0.433333333,-0.030614107,0.222741433
xti,0.601809955,0.618221258,0.583333333,0.235849234,0.621495327
streetphotography,0.235714286,0.535791757,0.497487437,0.020644119,0.154446178
quiet,0.605815832,0.64714389,0.627090301,0.287108884,0.5859375
finland,0.618122977,0.658712943,0.640939597,0.310332295,0.596875
midwest,0.508126604,0.584237166,0.561436673,0.153662116,0.4640625
good,0.519782777,0.55242227,0.515384615,0.100747174,0.524256651
army,0.637853949,0.648590022,0.608819346,0.298066319,0.669796557
wave,0.36345776,0.531453362,0.488126649,0.029612401,0.289514867
waterfall,0.053672316,0.515545915,0.275362319,-0.03998734,0.029733959
russia,0.376522702,0.592913955,0.643939394,0.145731505,0.266040689
yard,0.431527094,0.582791034,0.582446809,0.135640916,0.342723005
ford,0.699404762,0.707881417,0.66572238,0.416709121,0.736677116
doors,0.424742268,0.596529284,0.620481928,0.159241206,0.322884013
metro,0.586206897,0.635574837,0.615517241,0.261942326,0.559561129
shade,0.602167183,0.628344179,0.594801223,0.253556533,0.609717868
malaysia,0.264808362,0.542299349,0.511210762,0.033961036,0.178683386
walls,0.567463377,0.594360087,0.558421851,0.185759398,0.576802508
oil,0.502521008,0.571945047,0.540687161,0.130159108,0.469387755
iphoneography,0.466222645,0.594360087,0.59178744,0.162222748,0.384615385
dry,0.523766816,0.616052061,0.610878661,0.212952256,0.458398744
recreation,0.556325823,0.629790311,0.620889749,0.244555778,0.503924647
explored,0.54374412,0.649313087,0.676814988,0.27641224,0.454402516
stripes,0.576217079,0.616052061,0.585089141,0.225406218,0.567610063
heart,0.710606061,0.723788865,0.684671533,0.447153127,0.738582677
celebration,0.727685325,0.739696312,0.70014556,0.479115664,0.757480315
dublin,0.695849057,0.708604483,0.668115942,0.417105655,0.725984252
equipment,0.695652174,0.706435286,0.661911555,0.413552163,0.733017378
fast,0.723018868,0.734634852,0.692196532,0.469302167,0.75671406
sandiego,0.676829268,0.693420101,0.653902798,0.385901085,0.701421801
atlantic,0.707410237,0.723065799,0.683899557,0.445130466,0.732594937
crane,0.72481203,0.735357918,0.690544413,0.471143579,0.762658228
looking,0.721068249,0.72812726,0.67877095,0.457907137,0.768987342
mygearandme,0.753424658,0.765726681,0.725806452,0.530898835,0.783227848
airplane,0.717522659,0.729573391,0.685425685,0.459249409,0.752773376
sweet,0.726299694,0.741142444,0.701624815,0.481333347,0.752773376
finepix,0.724349158,0.739696312,0.700740741,0.478303512,0.749603803
italian,0.722638681,0.732465654,0.685633001,0.465708713,0.763866878
all,0.700460829,0.718004338,0.678571429,0.434590637,0.723809524
taiwan,0.653153153,0.665943601,0.61965812,0.332788241,0.69047619
3d,0.702619414,0.720896602,0.682634731,0.440100938,0.723809524
drink,0.704805492,0.720173536,0.677419355,0.439651282,0.734499205
nightshot,0.724031008,0.742588576,0.706505295,0.483116578,0.742448331
argentina,0.692541857,0.707881417,0.664233577,0.415266051,0.723370429
victorian,0.740797546,0.75560376,0.715555556,0.510151087,0.767885533
seat,0.713737529,0.730296457,0.688888889,0.459408393,0.74044586
minolta,0.723694171,0.736080983,0.68975469,0.472267089,0.761146497
electric,0.70212766,0.716558207,0.671511628,0.432852809,0.73566879
carolina,0.672768879,0.689804772,0.64568082,0.37890847,0.702229299
interestingness,0.714285714,0.72812726,0.682148041,0.456071095,0.749601276
hole,0.699404762,0.707881417,0.6545961,0.417875926,0.750798722
religion,0.74617737,0.759942155,0.715542522,0.519258716,0.779552716
run,0.702047005,0.715835141,0.668109668,0.431787033,0.739616613
signage,0.68157286,0.701373825,0.658718331,0.40106579,0.706070288
tripod,0.719521316,0.728850325,0.676511955,0.459145332,0.768370607
destination,0.751314801,0.760665221,0.709219858,0.522213977,0.798722045
nationalpark,0.763550668,0.782357195,0.751159196,0.562044786,0.776357827
look,0.690225564,0.702096891,0.651988636,0.405212206,0.733226837
frozen,0.693474962,0.707881417,0.658501441,0.415968943,0.732371795
print,0.704718417,0.71945047,0.671014493,0.438782106,0.741987179
friend,0.707132018,0.720896602,0.671469741,0.441990128,0.746794872
corner,0.705701079,0.723788865,0.677514793,0.446330395,0.736334405
peaceful,0.774539877,0.787418655,0.740469208,0.574249443,0.811897106
engine,0.744536549,0.754880694,0.699716714,0.510807198,0.795491143
nikond40,0.725460123,0.741142444,0.692532943,0.481635268,0.761674718
d70,0.705882353,0.725234996,0.678571429,0.448862993,0.735483871
kent,0.696319018,0.713665944,0.66374269,0.426688943,0.732258065
still,0.680916031,0.697758496,0.645441389,0.395471163,0.720516963
end,0.694316436,0.712219812,0.661786237,0.423696907,0.730210016
eu,0.730210016,0.758496023,0.730210016,0.511623629,0.730210016
hipstamatic,0.709480122,0.725234996,0.673439768,0.450261616,0.749596123
map,0.684740511,0.70571222,0.657738095,0.409679114,0.714054927
early,0.704204204,0.715112075,0.657784011,0.432075476,0.757673667
adobe,0.693597561,0.709327549,0.656565657,0.418787282,0.735056543
bayarea,0.690568979,0.712942878,0.667168675,0.423481951,0.715670436
