,ndcg
interchange,0.96615419
canonrebel,0.962039522
rave,0.954529454
winnipeg,0.953535917
windmills,0.947016647
statua,0.946683507
reizen,0.943314862
f456,0.943182346
gibraltar,0.942185671
song,0.938417273
soe,0.937049911
homes,0.936962481
islande,0.936411636
brush,0.934177529
dyke,0.934089544
commuter,0.93240143
madrid,0.925326825
zaun,0.924361256
program,0.919397175
pineapple,0.918832141
vaud,0.917048705
mta,0.915353123
refraction,0.915283943
leafs,0.914683032
mia,0.913963243
1992,0.912026684
crucifix,0.911072707
bucks,0.907369798
newyearsday,0.906843496
diamondclassphotographer,0.90515144
sidney,0.904628931
hiker,0.904281681
frankreich,0.90360095
flute,0.903290152
6th,0.903103911
coloradosprings,0.902091695
dell,0.901857103
collingwood,0.901762488
argentine,0.900712012
destinations,0.900634027
racing,0.899362538
mid,0.898582254
midland,0.897970305
cannon,0.895200136
highlandpark,0.895113905
mann,0.893906338
mud,0.892858339
capturenx,0.89215427
level,0.890021184
telaviv,0.889484218
hp,0.889121583
fz38,0.88904962
cancer,0.888119546
sadness,0.888087847
busch,0.887485078
wfc,0.88730704
duna,0.885368985
buddhist,0.88528978
andreas,0.884437945
toskana,0.884250699
palestine,0.879780606
fourthirds,0.878798934
do,0.877961579
boxes,0.877924396
sue,0.877845746
arquitetura,0.877545693
charlottesville,0.874204672
bleak,0.873232213
desktop,0.870711346
freshwater,0.869621617
here,0.869553273
campfire,0.869373382
glas,0.869220339
condemned,0.866882887
marco,0.866623636
brandon,0.865060996
fiat,0.864734439
chinesenewyear,0.863804446
jazz,0.86380362
lonesome,0.862319563
trash,0.862013701
jan,0.86082158
officer,0.859941341
pick,0.859576845
superbmasterpiece,0.859533198
cover,0.859176804
apron,0.858988143
unis,0.858729364
formula,0.857846241
buckinghamshire,0.857736473
aberdeen,0.85585785
evanston,0.85581134
louis,0.855771868
jess,0.855698694
skylight,0.854258785
80,0.853608942
scaffold,0.85172898
budweiser,0.850737403
shah,0.850585801
blog,0.849790977
duitsland,0.849140954
yard,0.848618538
feature,0.847984874
nemo,0.845605682
elk,0.843807697
contemporaryart,0.843468
arctic,0.84344065
5dmk2,0.843348835
blu,0.843025327
citylights,0.840979755
istanbul,0.840285993
processing,0.839483651
evan,0.839376478
cs2,0.838496308
clean,0.838191704
noiretblanc,0.838182521
zurich,0.838017365
tie,0.83801294
newspaper,0.837846686
canoneos500d,0.837189687
hang,0.836380351
architechture,0.836226742
autopano,0.833317452
pastel,0.833242418
eisenbahn,0.832332475
fixture,0.83228946
eastlothian,0.831800006
25,0.831761976
ellis,0.831638087
casual,0.830931056
banc,0.830785126
boots,0.830597916
bb,0.83015575
gradeiilisted,0.830137301
age,0.830008041
lots,0.829867922
eclipse,0.829858067
developed,0.829746936
backpack,0.829683113
80s,0.8296287
dragon,0.829545209
chicks,0.829328268
lagos,0.829288941
stephens,0.829178964
metro,0.828064693
nikond40x,0.827941684
ceredigion,0.827700334
grip,0.827233333
nancy,0.827040375
designer,0.82694078
claire,0.826909951
ir,0.826906992
graphics,0.825939588
banksy,0.8256183
sophia,0.825428414
indoors,0.825008708
paysage,0.823783647
cherry,0.823640768
canarywharf,0.823255797
wooded,0.823163526
frozen,0.822248315
passion,0.822139875
herts,0.821706635
kodaktrix400,0.821492237
kevin,0.821176722
keswick,0.821133589
