,0
"interchange (midday, elevated)",0.96615419
"canonrebel (controluce, pigeons)",0.962039522
"rave (dj, erin)",0.9545294540000001
"winnipeg (konicaminolta, twincities)",0.9535359170000001
"windmills (goldenhour, puffy)",0.947016647
"statua (palacio, estatua)",0.946683507
"reizen (1022mm, t3)",0.943314862
"f456 (300mm, a550)",0.943182346
"gibraltar (iow, upon)",0.942185671
"song (singing, juni)",0.938417273
"soe (theunforgettablepictures, diamondclassphotographer)",0.9370499109999999
"homes (condo, pine)",0.9369624809999999
"islande (volcanic, paesaggio)",0.936411636
"brush (trunk, cedar)",0.9341775290000001
"dyke (lakedistrict, fells)",0.9340895440000001
"commuter (muni, passenger)",0.93240143
"madrid (winnipeg, brussels)",0.925326825
"zaun (sneeuw, fences)",0.924361256
"program (you, junior)",0.919397175
"pineapple (coconut, overtheexcellence)",0.918832141
"vaud (autunno, lietuva)",0.917048705
"mta (amtrak, fdny)",0.9153531229999999
"refraction (magenta, droplets)",0.9152839429999999
"leafs (raindrops, dew)",0.914683032
"mia (yahoo, ted)",0.913963243
"1992 (1991, kx)",0.9120266840000001
"crucifix (crosses, romano)",0.911072707
"bucks (buckinghamshire, luxembourg)",0.907369798
"newyearsday (nokton, pointshoot)",0.9068434959999999
"diamondclassphotographer (flickrdiamond, blueribbonwinner)",0.90515144
"sidney (frankrike, kx)",0.904628931
"hiker (grassland, glacial)",0.904281681
"frankreich (francia, normandy)",0.90360095
"flute (alter, thought)",0.9032901520000001
"6th (7th, sullivan)",0.903103911
"coloradosprings (devils, banff)",0.902091695
"dell (pull, guest)",0.901857103
"collingwood (milton, spectrum)",0.9017624879999999
"argentine (argentinien, nuevayork)",0.9007120120000001
"destinations (gettyimages, clearsky)",0.9006340270000001
"racing (race, nissan)",0.899362538
"mid (31, prints)",0.898582254
"midland (22, geo)",0.897970305
"cannon (thechallengefactory, soleil)",0.8952001359999999
"highlandpark (645, newtown)",0.895113905
"mann (menschen, twinlensreflex)",0.893906338
"mud (flood, 200)",0.8928583390000001
"capturenx (nikoncapturenx, q3)",0.89215427
"level (never, noise)",0.8900211840000001
"telaviv (yashica, lyrics)",0.889484218
"hp (multiple, 52)",0.889121583
"fz38 (fz35, overtheexcellence)",0.88904962
"cancer (protest, hop)",0.888119546
"sadness (lyrics, finestra)",0.888087847
"busch (worlds, jpg)",0.887485078
"wfc (railings, s5600)",0.88730704
"duna (riviere, nd)",0.885368985
"buddhist (buddhism, buddha)",0.88528978
"andreas (kris, kodaktrix400)",0.884437945
"toskana (toscane, eos450d)",0.8842506990000001
"palestine (janela, lebanon)",0.879780606
"fourthirds (fineartphotos, apo)",0.8787989340000001
"do (chris, andrew)",0.877961579
"boxes (aluminum, stickers)",0.8779243959999999
"sue (familia, robert)",0.877845746
"arquitetura (finestra, edificio)",0.877545693
"charlottesville (3652011, vilnius)",0.8742046720000001
"bleak (gloomy, nowhere)",0.873232213
"desktop (nuage, 500d)",0.8707113459999999
"freshwater (seaweed, reef)",0.8696216170000001
"here (its, was)",0.869553273
"campfire (hammock, rv)",0.869373382
"glas (spiegelung, fenster)",0.8692203390000001
"condemned (decrepit, decaying)",0.866882887
"marco (geo, 08)",0.8666236359999999
"brandon (jenny, pete)",0.865060996
"fiat (citroen, nissan)",0.864734439
"chinesenewyear (bamboo, guangzhou)",0.863804446
"jazz (years, 08)",0.86380362
"lonesome (solitary, sneeuw)",0.862319563
"trash (garbage, rubbish)",0.862013701
"jan (frankreich, zoo)",0.86082158
"officer (cop, combat)",0.859941341
"pick (naturaleza, flores)",0.859576845
"superbmasterpiece (rubyphotographer, bej)",0.8595331979999999
"cover (dream, cinematic)",0.8591768040000001
"apron (tray, tights)",0.8589881429999999
"unis (etats, octobre)",0.8587293640000001
"formula (redbull, prix)",0.857846241
"buckinghamshire (bucks, staffordshire)",0.857736473
"aberdeen (nophotoshop, warwick)",0.85585785
"evanston (filmphotography, lamppost)",0.85581134
"louis (amerika, sphere)",0.8557718679999999
"jess (liz, sean)",0.8556986940000001
"skylight (stair, stairway)",0.854258785
"80 (15, 40)",0.853608942
"scaffold (architechture, railings)",0.85172898
"budweiser (troy, 3652011)",0.850737403
"shah (viaggi, fontaine)",0.8505858009999999
"blog (feet, by)",0.8497909770000001
"duitsland (ruhrgebiet, nrw)",0.8491409540000001
"yard (1993, backyard)",0.848618538
