,ndcg
leafs,0.85788629
aerialphotography,0.846430601
irvine,0.788179563
centralcoast,0.784536035
swell,0.773968642
pacificocean,0.76663261
trunks,0.764078405
southflorida,0.763064148
lapland,0.751886112
sunbathing,0.742143744
fiat,0.729560441
dj,0.728145433
magicunicornverybest,0.723565782
kennedy,0.722020113
debris,0.720044772
ibiza,0.719073599
gala,0.714623892
lune,0.711986751
puddle,0.710914703
association,0.708839123
dylan,0.705625863
sam,0.696964647
outhouse,0.693088204
straightoutofcamera,0.689585597
cd,0.688638994
stephens,0.687776017
eclipse,0.686004308
newyears,0.684051001
bone,0.68305639
neutraldensity,0.68150191
builtstructure,0.680177938
canong7,0.678311111
photomatixpro,0.667871203
tie,0.665194406
ring,0.664991292
wv,0.664941772
centercity,0.664644436
aberdeen,0.66439548
campagna,0.663562993
cover,0.662989751
raindrops,0.662009254
crucifix,0.661887278
canonefs18135mmf3556is,0.659702943
rim,0.659344672
langzeitbelichtung,0.658461158
workplace,0.655534933
australie,0.653808893
paul,0.650568449
canons90,0.649605028
ostsee,0.644983663
washingtondc,0.644381351
sonycybershot,0.644081405
yahoo,0.64278707
aisle,0.642362119
65,0.642289905
1983,0.642270364
vertorama,0.642177748
diafine,0.640466374
dragon,0.640182317
gx100,0.639275811
row,0.637093775
lensflare,0.636667857
maghreb,0.636522222
cola,0.636175226
photographers,0.63562203
humanidad,0.635408338
soil,0.633926271
fans,0.63378848
yokohama,0.633701626
minas,0.628224584
worldwar2,0.626484162
flow,0.625335491
bostonma,0.624324303
stag,0.623847755
bruxelles,0.623407356
paisajes,0.623254651
erie,0.622676657
cube,0.621895243
past,0.620713768
gloom,0.62003889
rad,0.619726009
k800i,0.619413026
coloured,0.618973916
bend,0.61765541
columns,0.617210073
canoneos5d,0.61693013
handsome,0.61626449
stalls,0.615747242
austin,0.614728596
25mm,0.614571052
lagos,0.613611939
cab,0.613082315
visitor,0.612692226
combat,0.612523241
proud,0.61134007
locomotive,0.610055603
cornell,0.60985646
snowy,0.609274406
triangles,0.608962691
tv,0.608703466
mundo,0.606831724
tienda,0.606643644
bikeride,0.606057346
scan,0.605950377
55250mm,0.604783976
newdelhi,0.604043586
elevated,0.603836761
asleep,0.603564329
austintexas,0.603395193
panasonicdmctz3,0.603260862
flooded,0.603222336
pugetsound,0.602239763
eisenbahn,0.60222655
collingwood,0.602014858
elite,0.601781254
rc,0.600875578
peek,0.600817996
powerlines,0.60054027
passage,0.599961641
talvi,0.599494928
swift,0.598688426
cultura,0.598670936
norwich,0.598627238
fla,0.597312955
blonde,0.596876921
torn,0.596291692
8,0.59624985
piper,0.595695223
decor,0.595316445
1855,0.594887153
fredericksburg,0.593553359
collar,0.593410554
airplane,0.593381497
release,0.593043754
mallard,0.592772018
18200vr,0.592617314
johnson,0.592096081
weatherbug,0.592051462
cloudysky,0.591389399
faved,0.591134019
moor,0.590715006
century,0.58949265
grunge,0.589203047
buddhist,0.588155069
swings,0.587255825
mike,0.587214336
arrival,0.587023682
innovation,0.58662982
hazy,0.58648753
wellington,0.586380381
30d,0.585963705
abbey,0.585619
budweiser,0.585370848
sleeping,0.584736105
f4l,0.58460188
density,0.584426101
bici,0.584152616
spagna,0.584001867
revival,0.583651362
richmond,0.583123911
photoshopelements,0.582548687
32,0.58223165
murray,0.581797357
brasil,0.581691612
riodejaneiro,0.581614163
propeller,0.581611443
thai,0.58126433
1d,0.58116944
michellepearson,0.580755652
nikond40x,0.580595589
3d,0.58050438
pierce,0.580452472
amber,0.580265558
southerncalifornia,0.580139571
glasgow,0.579978987
hydro,0.579801012
natale,0.579592844
modernarchitecture,0.579351556
milk,0.579285811
control,0.57888594
corn,0.578487365
1116mm,0.578292133
geotoolgmif,0.578006258
veterans,0.577859558
worn,0.577802967
wwii,0.577752077
comida,0.577541063
chips,0.57707748
buried,0.576937047
lakeerie,0.576847056
birmingham,0.576646664
caracas,0.57611545
twin,0.576014764
latinoamerica,0.575958444
50,0.575851332
70200mmf28gvr,0.575754235
dynamic,0.575557748
jeans,0.57552617
pilot,0.574842469
paved,0.574533311
cn,0.574490705
dancer,0.574372932
project366,0.573958545
southasia,0.573743964
jumper,0.57372859
prize,0.573637789
charlie,0.573279533
weiss,0.572949438
ear,0.572070643
canoneosdigitalrebelxti,0.571983465
stairwell,0.57163598
horseshoe,0.571181833
pico,0.571154429
plateau,0.571113551
canopy,0.571057025
rodeo,0.57094148
rope,0.570874914
petrol,0.570712687
220,0.57055583
nightclub,0.570358815
105mm,0.570213407
friend,0.569836684
architectural,0.569358976
finger,0.569119673
artists,0.568722915
vegetables,0.568261403
canoneos40d,0.567957234
d3s,0.567828656
gimp,0.56771118
onion,0.567703207
wealth,0.56760558
designer,0.567585699
lemon,0.567281965
pix,0.567111699
hoop,0.56698295
preserve,0.566540441
jaguar,0.566498345
cinema,0.566424642
fairytale,0.566369285
gazebo,0.566310476
artista,0.566025791
god,0.565815669
fortress,0.565546786
markt,0.565345568
montgomery,0.565173727
am,0.5651492
atardecer,0.565101163
glace,0.565082967
barnsley,0.565027764
streetlife,0.564606954
1959,0.564474581
120film,0.56417365
newcastle,0.564054105
institution,0.563688149
