,ndcg
southcoast,0.968171253
interchange,0.963106815
canonrebel,0.954037102
statua,0.94506351
municipal,0.942144627
madrid,0.9341416
reizen,0.93337179
commuter,0.93055015
crime,0.92377699
leafs,0.921005013
architechture,0.910243441
winnipeg,0.909311045
argentine,0.909111373
brush,0.903040035
a,0.902742413
cell,0.900361012
destinations,0.90033341
diamondclassphotographer,0.8990562
vaud,0.898660726
sidney,0.898415188
hiker,0.897106254
mid,0.896853121
dell,0.894845007
memories,0.894560398
level,0.893564963
lajolla,0.892461295
sadness,0.89237123
frankreich,0.891179749
midland,0.890137881
converse,0.890010167
defence,0.888436615
coloradosprings,0.888280378
1992,0.888184847
homes,0.887659931
rapid,0.885717199
blinkagain,0.885074799
desolate,0.884771325
mud,0.883937776
cancer,0.883882505
montmartre,0.883723525
cannon,0.882853022
buddhist,0.881856839
trash,0.881646601
highlandpark,0.879166094
abandonedbuilding,0.878569598
soe,0.875043687
yard,0.873684762
groningen,0.873569501
feature,0.873541428
em5,0.872794646
engagement,0.872512661
hp,0.872052412
scaffold,0.87185286
claire,0.870727282
80,0.867919567
built,0.867754732
here,0.867422103
bakery,0.86527932
frozen,0.865215065
dresden,0.864519752
priest,0.864235072
palestine,0.86276648
condemned,0.862019043
5dmk2,0.860982026
brandon,0.859941887
arquitetura,0.858224985
weatherbug,0.85792602
dyke,0.857130829
fz38,0.856489885
westernaustralia,0.855284432
collingwood,0.855011541
lonesome,0.854510523
6th,0.851642334
duna,0.85151556
skylight,0.849048034
superbmasterpiece,0.847579702
viewing,0.846440581
madera,0.845893798
fenetre,0.845378122
andreas,0.844433523
amanda,0.843837238
boxes,0.843158909
cover,0.843130298
aluminium,0.842675447
highlands,0.842368919
aberdeen,0.841408335
fa,0.841008034
ukraine,0.840627658
jan,0.840593944
formula,0.840497738
harvey,0.839386367
snowy,0.838119606
windmills,0.837261571
aichi,0.835166012
65,0.834973266
canoneos500d,0.833324007
distritofederal,0.832418452
do,0.832155515
views100,0.832091663
pick,0.830440547
dreams,0.830401877
wfc,0.830337346
amsterdam,0.827835926
auditorium,0.826998051
chicks,0.826776329
fiat,0.826661795
hsm,0.826610844
24mm,0.826395455
dry,0.825579945
grange,0.825233352
babe,0.82514729
metro,0.823642477
mallard,0.823148898
gimp,0.822777784
banc,0.822069165
flooded,0.821876746
signals,0.820999227
gradeiilisted,0.820314087
potomac,0.820120564
au,0.820112636
pastel,0.819444157
adelaide,0.818332427
budweiser,0.817452086
holly,0.816710026
klingon65,0.816479941
wealth,0.816340766
photographers,0.816263263
polariser,0.816151332
autopano,0.815470783
dragon,0.815089038
munster,0.814071426
humid,0.813450497
heads,0.813183641
hazard,0.812671711
blooming,0.811845538
nancy,0.811756923
gibraltar,0.810303335
lorry,0.810273256
istanbul,0.809709261
washing,0.809102225
vote,0.808062481
stark,0.807647244
25,0.807219682
cobbles,0.806035497
blog,0.805439678
cakes,0.805084183
bluffs,0.80379167
forsale,0.803784133
diamond,0.803574009
superior,0.803544025
nightmare,0.80342708
bb,0.80300251
29,0.802891932
t2,0.802452329
kodaktrix400,0.802123521
haunted,0.801957104
blu,0.801265713
johnny,0.801180045
chick,0.799950625
tz5,0.799520044
adriatic,0.798249154
sue,0.798162735
where,0.797963058
beat,0.797616747
keswick,0.797146826
tim,0.796975899
ceredigion,0.796669252
beck,0.795556537
cascades,0.795397616
log,0.795244577
automotive,0.795213523
finland,0.794421189
eclipse,0.79428113
visitor,0.794171328
shah,0.794098729
cs2,0.793928549
eddie,0.793684612
casual,0.793253177
designer,0.793173512
tyskland,0.792880667
by,0.792374705
seville,0.792301404
gent,0.791467068
westerncape,0.790511504
ngc,0.79017495
lead,0.78995087
dj,0.789879029
horseshoe,0.789548696
1983,0.789175877
poor,0.788161581
agricultural,0.787801239
backpack,0.787055215
espoo,0.786486046
canoneos,0.786372701
buck,0.78530289
concerts,0.785230847
feminine,0.785160237
expiredfilm,0.784857671
thinking,0.784387491
blanket,0.78388573
sale,0.783663427
decline,0.782713953
1956,0.781529243
irvine,0.781285827
sleepy,0.781277117
peach,0.780827797
athletic,0.780129637
wonderful,0.780100667
f3556g,0.779718311
comida,0.779691561
oro,0.779519393
westvillage,0.779098767
canonef50mmf14usm,0.778035669
reconstruction,0.777459671
mile,0.777070648
lensflare,0.776880492
banksy,0.77632356
spy,0.775861237
garland,0.775744296
toby,0.775614654
abbey,0.775309247
hail,0.775233196
nemo,0.774986377
dive,0.774720569
final,0.774345194
900,0.774156641
castiron,0.772984146
lavender,0.772689526
ellis,0.772246776
toddler,0.771806291
su,0.771493355
violet,0.770878976
works,0.770664297
restaurants,0.770377935
brabant,0.77024699
desktop,0.770145497
prize,0.769936039
80s,0.769817125
ripples,0.7696484
plate,0.768891881
age,0.768523894
fp4,0.767893894
dailyphoto,0.767747848
lots,0.767514964
glasgow,0.767420705
share,0.767255068
manualfocus,0.767100208
marco,0.76708053
processing,0.767024638
artists,0.766589404
70200mmf28gvr,0.766372133
geneva,0.766291014
brugge,0.766061652
veracruz,0.7656225
baseball,0.765587499
alamo,0.765295564
jon,0.76522759
chiesa,0.763965498
acid,0.763830814
survival,0.762978565
underconstruction,0.76293389
architects,0.762699435
majestic,0.762395476
sarah,0.762378232
borneo,0.761797059
plane,0.761712915
mesh,0.761582506
native,0.761188
austin,0.760443782
wooded,0.760286776
eating,0.760062804
photomatixpro,0.759822719
1977,0.75964779
landmarks,0.759266568
openspace,0.75873121
saskatoon,0.75847713
catch,0.75844003
castello,0.757423522
cumberland,0.757291769
castilla,0.756886168
bosco,0.756761672
fleur,0.756073418
cab,0.755818426
cybershot,0.75571828
isolation,0.755627736
lookingup,0.755072257
iso1600,0.754873339
ibiza,0.754463493
alemanha,0.754295841
eisenbahn,0.754071875
beautyinnature,0.753766885
developed,0.753740522
stairwell,0.752310522
twitter,0.751770743
lagos,0.751456504
invierno,0.750783815
eingang,0.750757388
montgomery,0.750753056
msu,0.750658368
bmw,0.750612223
jeans,0.750428506
centercity,0.749659936
boot,0.749114847
islande,0.748701461
gnd,0.748421585
edible,0.748284802
volcano,0.748120838
eastbay,0.747583053
baltic,0.747378433
favorite,0.746829756
belgica,0.74635907
canonpowershot,0.746356202
looking,0.745892912
blossom,0.745092423
faved,0.743759289
minas,0.743479045
flow,0.741928744
beans,0.741817417
4x5,0.741727968
mojavedesert,0.741434981
folk,0.741261989
frau,0.740908941
unfinished,0.740509517
zurich,0.74045615
ni,0.74025335
burlesque,0.739670722
ant,0.739290353
jc,0.73853534
li,0.738054622
present,0.737911464
airplane,0.737538767
ambulance,0.73658291
jess,0.736553108
hokkaido,0.736258665
vereinigtestaaten,0.735377735
kenya,0.734910723
passion,0.734769716
couleurs,0.73458483
dubrovnik,0.734452482
marielaureeven,0.734333072
antiquity,0.734110515
prato,0.733261454
on,0.733207662
resorts,0.73312852
arabia,0.733021639
hostel,0.732887119
mann,0.732742448
mystery,0.732543639
beads,0.732339525
campagna,0.732305109
tv,0.731769275
campground,0.731542535
milk,0.73146166
philippines,0.731072785
evan,0.730534886
christmastree,0.7302268
bakersfield,0.730140247
cusco,0.72945308
hydepark,0.729315218
mixed,0.729045916
dutch,0.728856017
metromanila,0.728650065
farmhouse,0.728134959
sardinia,0.7280056
mental,0.727542072
ale,0.727529151
defunct,0.727460112
batonrouge,0.727295611
blade,0.727266826
toscane,0.726754313
50mmf18,0.726546475
marokko,0.726378277
richard,0.726272734
28135mm,0.725719684
mission,0.725337477
peloponnese,0.725061411
flute,0.724433479
ciel,0.724384506
repeat,0.72396573
d5000,0.723599491
bangalore,0.723474163
climatechange,0.723344637
zonsondergang,0.723177487
customs,0.7221203
duty,0.722003724
3d,0.72183077
palermo,0.721745279
evanston,0.721371341
laugh,0.720731132
dartmouth,0.720614457
wonder,0.720482911
elsalvador,0.720405229
swan,0.720047831
buckinghamshire,0.719377484
fla,0.719236917
metroplex,0.719204349
beard,0.719093611
313,0.718288103
nightime,0.718181963
mike,0.718107183
1997,0.717981445
davidson,0.717630981
ornate,0.717525168
aerialphoto,0.717130696
register,0.716527917
twins,0.716306969
puddle,0.716113185
alumni,0.715993325
multipleexposure,0.71581891
d3s,0.715704225
civilization,0.71557957
candles,0.7153905
pavement,0.715171757
trick,0.715048436
potsdam,0.714992267
crete,0.714904991
today,0.71478091
chihuahua,0.714625829
b,0.71452915
banks,0.714455885
topf50,0.714082575
caracas,0.713783103
sonnenuntergang,0.713483995
homer,0.713460717
kultur,0.713150849
markings,0.713130581
gorse,0.712914281
des,0.712816299
bass,0.711993421
mercedesbenz,0.711968139
entrada,0.711937702
branco,0.711830957
governor,0.711818224
symmetry,0.711636874
jazz,0.711096285
icicle,0.710964093
perspektive,0.710816679
crucifix,0.710008507
corrugated,0.709994118
diafine,0.709395709
runway,0.709357756
es,0.709226926
asie,0.708749764
ear,0.708530238
apron,0.708499739
doors,0.708459895
buddha,0.708177048
die,0.708060323
spill,0.707936693
painterly,0.707815619
milan,0.707729698
doe,0.707595475
bn,0.707550003
canong7,0.707207952
aegean,0.706864796
sacred,0.706623124
anchorage,0.706518061
guadalajara,0.706333689
province,0.706193473
bmx,0.706122102
clothing,0.70579856
basement,0.705788017
arrival,0.705647107
boots,0.705447242
eos350d,0.705431782
mining,0.705151643
fairytale,0.705043616
polen,0.705031912
buddy,0.704919957
latinoamerica,0.70463841
2470l,0.704619754
beauxarts,0.704201114
blossoms,0.704160615
favorites,0.703987595
welcomeuk,0.703555594
catalunya,0.703457415
fortifications,0.703415659
ballard,0.703017255
embankment,0.702916397
cameron,0.702837544
rifle,0.702834771
lightbulb,0.702758659
riodejaneiro,0.702459799
hotrod,0.702409625
d7k,0.702407658
citylife,0.702130083
washingtondc,0.702078302
baie,0.701993531
egypt,0.70182944
gravity,0.70178613
flyer,0.701676418
kitty,0.701432541
naked,0.701398193
rim,0.699894821
behind,0.69983801
apartment,0.699392991
crop,0.699254425
straightoutofcamera,0.698763522
glace,0.698700659
stacked,0.698576198
campo,0.698483819
kennedy,0.698450915
johnson,0.698110752
newbrunswick,0.697840232
goldengate,0.69754401
canonefs18135mmf3556is,0.697103104
walter,0.696902155
appalachian,0.696636461
erin,0.696541196
antico,0.696291652
ttc,0.696240686
dolphin,0.696044749
breeze,0.695999722
karst,0.695989354
chief,0.695954798
shining,0.695163524
oval,0.695162623
conifer,0.695157014
aeroplane,0.694528044
citylights,0.694458252
burnaby,0.694243051
meal,0.694197517
antlers,0.694193481
chickens,0.694160784
branding,0.694134438
leith,0.693843197
charlie,0.693471582
atlas,0.693435553
burner,0.693378233
gown,0.693155339
thisphotorocks,0.69288786
advertisement,0.692443039
avion,0.692322176
petra,0.692209773
55250mm,0.692202527
stonewall,0.691792931
leather,0.691783279
bush,0.691633119
short,0.691229076
innovation,0.691073822
austintexas,0.690794688
britannia,0.690790107
glacial,0.690691728
crater,0.690656915
autoportrait,0.690503102
coth,0.690380606
astoria,0.690357304
rainyday,0.690338578
clarity,0.690132716
architectuur,0.68997627
chips,0.68996565
belly,0.689614974
ourdailychallenge,0.689460402
cup,0.689418869
dca,0.689300643
novel,0.688656397
bed,0.688273646
geel,0.688115835
rooster,0.68798221
stalls,0.687966308
deserto,0.687947381
relax,0.687932365
blackbird,0.687885182
monmouth,0.686920754
ef50mmf18ii,0.686850515
muskegon,0.686208931
voiture,0.685622797
dach,0.685387527
moth,0.68515515
licht,0.685126295
j,0.685031317
noise,0.68481708
seller,0.684783565
distortion,0.684639954
peaceful,0.684469385
northbeach,0.684460932
brake,0.684425001
konomark,0.683977539
3000,0.683936926
motorcity,0.683817187
condo,0.683663798
ff,0.683337516
nikonstunninggallery,0.68318725
funeral,0.682776306
chicagoland,0.682384966
a300,0.682311131
birthday,0.682221639
bostonma,0.682196256
prospect,0.682152054
leefilters,0.681992104
off,0.681866503
throughtheviewfinder,0.68103499
foods,0.680902585
composer,0.680847906
shelter,0.680706829
varsity,0.680654801
ferrari,0.680441302
kent,0.680413617
hdri,0.680179525
wash,0.680040766
jeff,0.679668562
nikond40x,0.679495569
r72,0.679372228
