,f1,acc,prec,kappa,recall
4,0.8921496698459281,0.8937093275488069,0.9034175334323923,0.7874063175462648,0.881159420289855
ball,0.891970802919708,0.8929862617498192,0.8958944281524927,0.7859576399331576,0.8880813953488372
pier,0.8898743532889873,0.8922631959508315,0.9052631578947369,0.784484588860221,0.875
death,0.8968023255813953,0.8973246565437455,0.895500725689405,0.7946444816703997,0.8981077147016011
alone,0.8944649446494465,0.8966015907447578,0.907185628742515,0.7931574373021326,0.8820960698689956
poland,0.8768328445747802,0.8785249457700651,0.8833087149187593,0.7570167347476611,0.8704512372634643
sunday,0.9034635224760502,0.9052783803326103,0.9149253731343283,0.8105184222994066,0.8922852983988355
speed,0.8908554572271387,0.8929862617498192,0.9028400597907325,0.785927194914563,0.8791848617176128
harbor,0.8926470588235295,0.8944323933477947,0.9019316493313522,0.7888280215608391,0.883551673944687
stream,0.9150326797385621,0.9154013015184381,0.9130434782608695,0.8308002145700599,0.9170305676855895
mount,0.908029197080292,0.9088937093275488,0.9093567251461988,0.8177716985512339,0.9067055393586005
fountain,0.8850746268656716,0.888647866955893,0.9067278287461774,0.7771996334467305,0.8644314868804664
southwest,0.8820960698689956,0.8828633405639913,0.8808139534883721,0.7657172494996372,0.8833819241982507
game,0.8963503649635036,0.8973246565437455,0.8963503649635036,0.7946311672557672,0.8963503649635036
bush,0.8869047619047619,0.8900939985538684,0.9030303030303031,0.7800793411670182,0.8713450292397661
nederland,0.8808988764044944,0.8850325379609545,0.9032258064516129,0.7699189212094959,0.8596491228070176
drawing,0.8745414526779164,0.8763557483731019,0.8777614138438881,0.7526630040882407,0.8713450292397661
main,0.8759231905465288,0.8785249457700651,0.8837555886736215,0.7569613261980176,0.8682284040995608
400,0.8944649446494466,0.8966015907447578,0.9017857142857143,0.7931314741535942,0.8872620790629575
fly,0.9052167523879501,0.9067245119305857,0.9085545722713865,0.8134042453052196,0.9019033674963397
