,f1,acc,prec,kappa,recall
4,0.398406374501992,0.5632682574114244,0.6369426751592356,0.12550093591789035,0.2898550724637681
ball,0.48804616652926625,0.5509761388286334,0.5638095238095238,0.10085648867908525,0.43023255813953487
pier,0.45149253731343286,0.5748373101952278,0.6302083333333334,0.14775642637959652,0.35174418604651164
death,0.1935483870967742,0.4938539407086045,0.46408839779005523,-0.017178881008668156,0.1222707423580786
alone,0.636231884057971,0.6370209689081706,0.6334776334776335,0.2740521854786596,0.6390101892285298
poland,0.5443983402489626,0.6030368763557483,0.6332046332046332,0.20477532591175163,0.4774381368267831
sunday,0.5860749808722265,0.6088214027476501,0.617741935483871,0.21711602268910468,0.5574963609898108
speed,0.5390185036202736,0.5856832971800434,0.6025179856115108,0.1703085983510011,0.487627365356623
harbor,0.6234875444839858,0.6174981923355025,0.6100278551532033,0.23518711915223245,0.6375545851528385
stream,0.35073068893528186,0.5502530730296457,0.6199261992619927,0.09693247669438154,0.2445414847161572
mount,0.5698412698412698,0.6080983369486623,0.6254355400696864,0.2151359297713632,0.5233236151603499
fountain,0.5976653696498055,0.6261749819233551,0.6410684474123539,0.25155365649667594,0.5597667638483965
southwest,0.5314799672935404,0.5856832971800434,0.6052141527001862,0.16989142560847226,0.4737609329446064
game,0.5446428571428571,0.5574837310195228,0.5553869499241275,0.11457629388171842,0.5343065693430656
bush,0.4307078763708873,0.5871294287780188,0.677115987460815,0.1694060627478945,0.3157894736842105
nederland,0.57487922705314,0.6182212581344902,0.6397849462365591,0.23484034025538014,0.5219298245614035
drawing,0.5371428571428571,0.5900216919739696,0.6081330868761553,0.17810325473463118,0.48099415204678364
main,0.5120593692022264,0.6196673897324656,0.6987341772151898,0.23530438219538652,0.404099560761347
400,0.6791604197901049,0.690527838033261,0.695852534562212,0.3806097591601999,0.6632503660322109
fly,0.5744855967078188,0.6261749819233551,0.6560150375939849,0.25022414283062766,0.5109809663250366
austin,0.12755102040816327,0.5054229934924078,0.49504950495049505,0.00035295137090951556,0.07320644216691069
norway,0.5766062602965404,0.6283441793203182,0.6591337099811676,0.25456158453717215,0.5124450951683748
grain,0.5259686727122836,0.584237165582068,0.60075329566855,0.16581435966830838,0.46774193548387094
pole,0.620532319391635,0.6391901663051338,0.6445497630331753,0.27754066285398427,0.5982404692082112
rose,0.5559006211180125,0.586406362979031,0.5907590759075908,0.17140522875817,0.5249266862170088
boats,0.6761194029850746,0.6861894432393347,0.6874051593323217,0.37193066167745503,0.6651982378854625
board,0.48925619834710743,0.5531453362255966,0.5595463137996219,0.10309025198020416,0.434654919236417
birthday,0.4803030303030303,0.5039768618944324,0.49608763693270735,0.006808745846602182,0.4654919236417034
plane,0.42247658688865763,0.5986984815618221,0.7198581560283688,0.18871227038802152,0.29896907216494845
analogue,0.6620046620046619,0.6854663774403471,0.6995073891625616,0.36946412232462056,0.6283185840707964
sidewalk,0.5917667238421954,0.6558206796818511,0.7069672131147541,0.30766366934847766,0.5088495575221239
greece,0.5821011673151751,0.6117136659436009,0.6161449752883031,0.22157027366117332,0.551622418879056
tracks,0.6075558982266769,0.6319595083152567,0.6365105008077544,0.26240927422523574,0.5811209439528023
estate,0.3520518358531317,0.5661605206073753,0.657258064516129,0.12131897455446505,0.24041297935103245
angeles,0.49699054170249357,0.5770065075921909,0.5958762886597938,0.14905197792523728,0.42625368731563423
francisco,0.4568345323741007,0.5632682574114244,0.5839080459770115,0.11968941075301454,0.37518463810930575
dirty,0.4971751412429379,0.549530007230658,0.5480427046263345,0.09550813624763665,0.4549483013293944
