,L0 Cluster,L1 Cluster,L2 Cluster,L3 Cluster,L4 Cluster
0,17671.0,12771.4,17461.4,10064.4,15626.4
1,4419.6,5749.4,16376.6,30955.4,14215.4
2,4348.4,9520.4,41451.0,15129.2,27405.8
3,4947.0,9648.8,22286.0,11504.4,12069.0
4,6774.0,8069.0,16886.2,24493.4,6685.0
5,6659.2,14450.4,10346.2,12062.2,13492.2
6,5604.4,6254.4,13970.6,20833.2,41140.6
7,5124.4,4628.2,8986.8,30294.8,15637.2
8,5655.6,10854.8,13075.2,26651.2,30947.0
9,17668.2,4249.4,11165.6,15889.2,21058.6
10,12676.0,9030.6,14506.6,8511.2,17041.6
11,10512.0,8648.8,7682.4,35997.2,9608.8
12,6658.0,5960.8,36694.4,16901.4,28494.4
13,13529.2,9854.2,23523.6,12285.4,16064.4
14,4864.8,15252.8,15741.8,22336.6,15090.0
15,7340.6,11497.8,21323.6,17808.0,13959.2
16,4806.0,4974.8,24854.4,21997.8,34609.4
17,7539.0,18972.8,10061.8,11132.4,16671.4
18,18977.0,7679.8,33408.2,10993.4,8028.8
19,5615.0,13520.0,12982.8,10280.4,17634.4
20,27325.6,12262.0,19257.4,7632.4,19978.2
21,10157.6,10287.0,7408.8,24783.4,13471.8
22,8276.2,5129.8,17023.2,38077.6,31087.8
23,9731.8,7643.2,12695.8,13963.2,23544.2
24,7766.0,6483.6,25947.4,12082.4,59831.0
25,5305.0,6547.2,6458.8,26797.2,0.0
26,19866.8,10788.4,11807.4,19053.8,0.0
27,4206.6,6426.8,11864.2,8182.8,0.0
28,13189.8,11477.8,16062.0,20846.2,0.0
29,5105.2,17863.6,24212.6,7266.0,0.0
30,9211.2,7924.2,21737.2,22133.8,0.0
31,19778.8,13896.2,25782.6,17641.2,0.0
32,11226.2,23839.0,16395.4,2065.0,0.0
33,8387.0,10146.2,5874.6,21375.8,0.0
34,5971.8,7352.2,33988.6,15490.4,0.0
35,7947.0,15805.4,18705.2,53503.2,0.0
36,5778.4,10644.2,17744.0,36222.8,0.0
37,2726.8,8832.4,8403.4,21506.6,0.0
38,5348.6,6308.4,13362.2,13789.6,0.0
39,4832.0,6912.8,11615.0,19801.8,0.0
40,7318.8,10758.2,17197.6,28891.6,0.0
41,3531.0,22424.6,19760.2,15604.8,0.0
42,8554.4,5690.4,14182.8,10415.4,0.0
43,16046.2,7447.2,7671.0,34762.8,0.0
44,5279.8,9156.4,8439.0,8257.8,0.0
45,8607.4,5912.8,17646.6,8327.2,0.0
46,7559.6,15116.6,23341.8,22588.8,0.0
47,9420.8,13037.2,29004.6,9879.8,0.0
48,8946.8,7320.6,16760.6,18452.6,0.0
49,8151.6,8475.2,14569.2,304235.5,0.0
50,6076.8,10778.2,12444.8,0.0,0.0
51,38266.0,12111.6,17909.8,0.0,0.0
52,2712.6,16404.8,7986.6,0.0,0.0
53,10424.2,3855.4,4959.8,0.0,0.0
54,7404.0,6708.4,24182.4,0.0,0.0
55,12883.2,15879.4,23897.0,0.0,0.0
56,7525.8,14298.0,14794.6,0.0,0.0
57,8643.4,16981.6,21946.2,0.0,0.0
58,5272.6,6692.8,7159.4,0.0,0.0
59,15587.6,11679.4,5468.4,0.0,0.0
60,6324.2,12318.0,3205.8,0.0,0.0
61,7716.4,8484.8,24750.8,0.0,0.0
62,4396.0,4408.2,7498.8,0.0,0.0
63,12231.0,4278.2,25061.6,0.0,0.0
64,9409.2,20885.4,9240.0,0.0,0.0
65,4128.6,10181.2,40791.6,0.0,0.0
66,6836.8,18306.0,11253.6,0.0,0.0
67,15356.8,25979.8,16890.2,0.0,0.0
68,9850.2,24820.0,20469.4,0.0,0.0
69,10842.4,14686.4,5819.4,0.0,0.0
70,7073.2,7517.4,39945.6,0.0,0.0
71,4669.0,10847.6,1781.8,0.0,0.0
72,10884.8,11109.2,11308.4,0.0,0.0
73,35910.0,7415.8,8025.2,0.0,0.0
74,16960.2,11073.6,7953.2,0.0,0.0
75,3606.0,9263.4,22250.6,0.0,0.0
76,34682.0,19157.0,19630.4,0.0,0.0
