,Genres,,,Keywords,,,Ratings,,,,
Movies,D1,D2,D3,D1,D2,D3,D1,D2,D3,,
Space,0.301,0.358,0.354,0.185,0.198,0.201,0.463,0.475,0.486,,
Single directions,0.436,0.463,0.492,0.230,N/A,N/A,0.466,N/A,N/A,,
Clusters,N/A,N/A,0.518,N/A,N/A,N/A,N/A,N/A,N/A,,
Topic model,,,,,,,,,,,
,Newsgroups,,,Sentiment,,,Reuters,,,,
Rep,0.251,0.366,0.356,0.705,0.770,0.773,0.328,0.413,0.501,,
Single dir,0.418,0.490,0.537,0.784,0.814,0.821,0.678,0.706,0.720,,
Cluster,0.394,0.433,0.513,0.735,0.844,0.813,0.456,0.569,0.583,,
Topic model,0.412920547,0.417449932,0.452328688,,,,0.452610599,0.502532949,0.551464469,,
,Foursquare,,,OpenCYC,,,Geonames,,,,
Placetypes,D1,D2,D3,D1,D2,D3,D1,D2,D3,,
Rep,0.438,0.478,0.454,0.383,0.397,0.396,0.349,0.340,0.367,,
Single dir,0.541,0.498,0.531,0.404,0.428,0.390,0.444,0.533,0.473,,
Cluster,0.462,0.507,0.496,0.413,0.420,0.429,0.444,0.458,0.470,,
Topic model,0.541185497,0.519617851,0.522848555,0.388897715,0.222642847,0.307933465,0.324695466,0.196114314,0.336948848,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
