Newsgroups,D1,Unnamed: 2,Unnamed: 3,Unnamed: 4,D2,Unnamed: 6,Unnamed: 7,Unnamed: 8,D3,Unnamed: 10,Unnamed: 11,Unnamed: 12,DN,Unnamed: 14,Unnamed: 15,Unnamed: 16,SVM,Unnamed: 18,Unnamed: 19,Unnamed: 20
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec
K-means 200,\textbf{0.852},\textbf{0.394},\textbf{0.261},0.795,\textbf{0.958},\textbf{0.433},\textbf{0.58},0.345,\textbf{0.963},\textbf{0.513},\textbf{0.704},0.403,,,,,,,,
K-means 100,0.842,0.388,0.257,0.791,0.958,0.366,0.516,0.284,0.962,0.5,0.635,\textbf{0.412},,,,,,,,
K-means 50,0.834,0.381,0.248,\textbf{0.819},0.815,0.336,0.212,\textbf{0.81},0.961,0.485,0.612,0.402,,,,,,,,
Derrac 200,0.803,0.313,0.202,0.693,0.797,0.306,0.191,0.781,0.958,0.409,0.605,0.309,,,,,,,,
Derrac 100,0.792,0.305,0.197,0.667,0.791,0.287,0.179,0.721,0.957,0.374,0.56,0.281,,,,,,,,
Derrac 50,0.769,0.26,0.162,0.661,0.768,0.237,0.143,0.693,0.955,0.315,0.47,0.237,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,Sentiment,D1,,D2,,D3,,,,,,,,
,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,\textbf{0.875},\textbf{0.338},\textbf{0.975},\textbf{0.54},0.973,\textbf{0.58},K-means ,0.623,0.674,\textbf{0.837},\textbf{0.844},0.658,0.707,,,,,,,
Derrac,0.797,0.291,0.973,0.402,\textbf{0.974},0.485,Derrac,\textbf{0.712},\textbf{0.735},0.802,0.82,\textbf{0.803},\textbf{0.813},,,,,,,
,,,,,,,,,,,,,,,,,,,,
Placetypes,D1,,D2,,D3,,Movies,D1,,D2,,D3,,,,,,,,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,\textbf{0.641},\textbf{0.413},\textbf{0.735},\textbf{0.405},0.75,\textbf{0.43},K-means ,\textbf{0.813},\textbf{0.431},\textbf{0.913},\textbf{0.513},\textbf{0.913},\textbf{0.506},,,,,,,
Derrac,0.605,0.39,0.672,0.392,\textbf{0.755},0.391,Derrac,0.759,0.341,0.789,0.431,0.911,0.432,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,\textbf{0.913},\textbf{0.462},\textbf{0.911},\textbf{0.5},\textbf{0.891},\textbf{0.511},K-means ,0.667,0.208,0.648,0.202,0.678,0.213,,,,,,,
Derrac,0.768,0.392,0.835,0.445,0.805,0.425,Derrac,\textbf{0.726},\textbf{0.215},\textbf{0.745},\textbf{0.22},\textbf{0.707},\textbf{0.219},,,,,,,
,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,\textbf{0.772},0.43,\textbf{0.774},0.407,\textbf{0.819},\textbf{0.472},K-means ,\textbf{0.671},\textbf{0.504},0.638,\textbf{0.507},\textbf{0.686},\textbf{0.513},,,,,,,
Derrac,0.678,\textbf{0.449},0.74,\textbf{0.411},0.807,0.415,Derrac,0.651,0.445,\textbf{0.669},0.463,0.627,0.479,,,,,,,
