Newsgroups,D1,Unnamed: 2,Unnamed: 3,Unnamed: 4,D2,Unnamed: 6,Unnamed: 7,Unnamed: 8,D3,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,
PCA 200,0.254,0.097,0.373,-0.55,0.117,0.058,0.433,-0.41,0.004,0.099,0.134,0.078,
PCA 100,0.259,0.135,0.345,-0.5,0.126,0.112,0.438,-0.367,0.006,0.157,0.118,\textbf{0.149},
PCA 50,0.277,0.133,0.277,-0.492,0.129,0.123,0.387,-0.347,0.006,0.177,0.228,0.143,
AWV 200,0.145,0.133,0.1,-0.005,0.199,0.128,0.362,-0.414,0.194,0.185,0.441,-0.397,
AWV 100,0.153,0.133,0.098,0.01,0.043,0.084,0.06,\textbf{0.109},0.21,0.137,0.414,-0.474,
AWV 50,0.11,0.122,0.088,0.044,0.056,0.088,0.068,0.052,0.21,0.142,0.362,-0.468,
MDS 200,\textbf{0.378},\textbf{0.234},\textbf{0.439},-0.498,\textbf{0.22},0.203,0.509,-0.372,0.243,\textbf{0.257},\textbf{0.568},-0.406,
MDS 100,0.271,0.178,0.138,-0.108,0.205,0.167,0.465,-0.401,\textbf{0.254},0.217,0.506,-0.459,
MDS 50,0.228,0.171,0.119,\textbf{0.115},0.126,0.136,0.108,0.014,0.222,0.155,0.452,-0.476,
D2V 200,0.149,0.138,0.101,0.037,0.158,0.202,\textbf{0.514},-0.288,0.192,0.225,0.526,-0.365,
D2V 100,0.162,0.166,0.123,0.041,0.169,\textbf{0.222},0.474,-0.266,0.176,0.249,0.505,-0.306,
D2V 50,0.162,0.181,0.132,0.08,0.154,0.193,0.452,-0.299,0.181,0.256,0.501,-0.314,
,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,Sentiment,D1,,D2,,D3,
,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1
PCA,0.129,0.33,0.062,0.265,-0.002,-0.034,PCA,-0.006,0.053,0.042,0.044,0.024,0.032
AWV,\textbf{0.193},0.345,0.008,0.327,\textbf{0.007},\textbf{0.243},AWV,0.057,0.047,0.068,0.042,0.028,0.018
MDS,0.184,\textbf{0.414},0.08,0.349,0.003,0.231,D2V,\textbf{0.134},\textbf{0.12},\textbf{0.122},\textbf{0.094},\textbf{0.12},\textbf{0.121}
D2V,0.159,0.316,\textbf{0.112},\textbf{0.366},0.006,0.188,,,,,,,
Placetypes,D1,,D2,,D3,,Movies,D1,,D2,,D3,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1
PCA,\textbf{0.047},\textbf{0.025},-0.003,0.038,\textbf{0.04},\textbf{0.024},PCA,0.102,0.111,\textbf{0.064},0.101,\textbf{0.196},\textbf{0.142}
AWV,0.036,0.021,\textbf{0.083},\textbf{0.052},0.027,-0.006,AWV,0.132,0.132,0.064,\textbf{0.115},0.156,0.114
MDS,0.034,0.009,0.011,-0.012,0.016,-0.024,MDS,\textbf{0.17},\textbf{0.148},0.049,0.104,0.145,0.141
Foursquare,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1
PCA,0.054,0.135,\textbf{0.084},\textbf{0.082},0.008,\textbf{0.143},PCA,0.09,0.04,\textbf{0.083},0.034,0.032,0.022
AWV,\textbf{0.151},\textbf{0.14},0.053,0.02,\textbf{0.038},0.014,AWV,\textbf{0.156},0.041,0.031,0.024,\textbf{0.057},\textbf{0.025}
MDS,-0.094,-0.022,0.075,0.055,0.038,0.031,MDS,0.111,\textbf{0.051},0.05,\textbf{0.035},0.033,0.023
Geonames,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1
PCA,\textbf{0.163},0.047,0.063,0.037,\textbf{0.063},0.011,PCA,-0.003,0.003,0.04,0.023,-0.003,0.007
AWV,0.054,\textbf{0.119},0.04,\textbf{0.21},-0.039,\textbf{0.106},AWV,\textbf{0.045},\textbf{0.041},\textbf{0.074},\textbf{0.042},\textbf{0.08},0.036
MDS,-0.035,-0.06,\textbf{0.078},-0.007,-0.032,0.08,MDS,0.028,0.026,0.057,0.04,0.055,\textbf{0.045}
