Newsgroups,D1,Unnamed: 2,Unnamed: 3,Unnamed: 4,D2,Unnamed: 6,Unnamed: 7,Unnamed: 8,D3,Unnamed: 10,Unnamed: 11,Unnamed: 12,DN,Unnamed: 14,Unnamed: 15,Unnamed: 16,SVM,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,,
PCA 200,0.701,0.251,0.148,0.811,0.843,0.366,0.245,0.719,0.956,0.355,0.540,0.265,0.946,0.440,0.450,0.432,0.969,0.612,0.746,0.519,,
PCA 100,0.698,0.247,0.146,0.813,0.835,0.362,0.241,0.731,0.957,0.356,0.576,0.257,0.948,0.451,0.465,0.438,0.969,0.586,0.768,0.474,,
PCA 50,0.680,0.240,0.141,0.829,0.834,0.355,0.234,0.735,0.957,0.329,0.472,0.253,0.947,0.450,0.462,0.438,0.966,0.520,0.745,0.399,,
AWV 200,0.687,0.217,0.126,0.781,0.758,0.256,0.156,0.718,0.764,0.260,0.157,0.751,0.937,0.339,0.352,0.328,0.961,0.468,0.641,0.369,,
AWV 100,0.677,0.210,0.122,0.775,0.780,0.275,0.173,0.683,0.746,0.250,0.149,0.769,0.934,0.324,0.332,0.317,0.865,0.400,0.265,0.812,,
AWV 50,0.696,0.219,0.127,0.772,0.777,0.272,0.168,0.710,0.743,0.250,0.149,0.786,0.935,0.325,0.335,0.316,0.842,0.362,0.233,0.819,,
MDS 200,0.581,0.184,0.103,0.837,0.742,0.262,0.160,0.729,0.719,0.236,0.139,0.785,0.935,0.327,0.332,0.323,0.965,0.501,0.802,0.364,,
MDS 100,0.586,0.187,0.105,0.833,0.754,0.261,0.159,0.727,0.705,0.236,0.138,0.808,0.935,0.330,0.338,0.321,0.878,0.439,0.308,0.765,,
MDS 50,0.593,0.153,0.087,0.647,0.716,0.250,0.150,0.756,0.736,0.243,0.144,0.774,0.935,0.324,0.335,0.313,0.854,0.394,0.259,0.821,,
D2V 200,0.682,0.205,0.119,0.746,0.802,0.268,0.169,0.646,0.770,0.269,0.164,0.750,0.940,0.366,0.389,0.346,0.961,0.468,0.641,0.369,,
D2V 100,0.682,0.208,0.120,0.762,0.792,0.268,0.168,0.662,0.786,0.268,0.164,0.727,0.940,0.376,0.392,0.361,0.971,0.628,0.761,0.535,,
D2V 50,0.683,0.207,0.120,0.764,0.809,0.294,0.187,0.694,0.782,0.280,0.172,0.761,0.943,0.394,0.415,0.376,0.970,0.601,0.758,0.497,,
PPMI,0.948,0.330,0.532,0.239,0.947,0.407,0.511,0.338,0.944,0.444,0.506,0.396,0.951,0.494,0.496,0.492,0.962,0.613,0.627,0.599,,
Topic,0.852,0.431,0.304,0.743,0.960,0.423,0.604,0.326,0.961,0.444,0.606,0.350,0.944,0.432,0.434,0.429,0.879,0.460,0.318,0.835,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,DN,,SVM,,Sentiment,D1,,D2,,D3,,DN,,SVM,,
,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,
PCA,0.847,0.328,0.917,0.413,0.978,0.501,0.978,0.565,0.989,0.761,PCA,0.745,0.705,0.755,0.770,0.778,0.773,0.781,0.779,0.891,0.893,
