Example feature names from the interpretable representation,,
Movies,Place-types,Newsgroups
courtroom legal trial court,broadway news money hollywood,switzerland austria sweden swiss
disturbing disgusting gross,fir bark activism avian,ham amp reactor watts
tear cried tissues tears,palace statues ornate decoration,karabag armenian karabakh azerbaijan
war soldiers vietnam combat,drummer produce musicians performers,4800 parity 9600 bps
message social society issues,ubahn railways electrical bahn,xfree86 linux
events accuracy accurate facts,winery pots manor winecountry,umpires umpire 3b viola
santa christmas season holiday,steeple religion monastery cathedral,atm hq ink paradox
martial arts kung,blanket whiskers fur adorable,lpt1 irq chipset mfm
bizarre weird awkward,desolate eerie mental loneliness,manhattan beauchaine bronx queens
drug drugs dealers dealer,carro shelby 1965 automobiles,photoshop adobe
inspirational inspiring fiction narrative,relax dunes tranquil relaxing,reboost fusion astronomers galactic
