Newsgroups,D1,,,,D2,,,,D3,,,,DN,,,,SVM,,,
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec
K-means 200,0.851542664,0.393554187,0.261495674,0.795078605,0.957801703,0.432574232,0.580168451,0.34484583,0.962992126,0.51301479,0.704159918,0.403487564,,,,,,,,
K-means 100,0.842214366,0.387594229,0.256668621,0.791163459,0.957544593,0.366371352,0.51583036,0.284065064,0.961963683,0.499735153,0.634724576,0.412093561,,,,,,,,
K-means 50,0.833769886,0.380717877,0.248043078,0.818547652,0.815314157,0.336096996,0.212016167,0.810345404,0.961216455,0.485186216,0.611706737,0.402032943,,,,,,,,
Derrac 200,0.80278001,0.313090933,0.202240342,0.692852502,0.797147678,0.306315333,0.190528304,0.780850217,0.957906155,0.408838267,0.605146187,0.308697549,,,,,,,,
Derrac 100,0.792383095,0.30457392,0.1973156,0.6673218,0.790591355,0.286755468,0.178978598,0.720812441,0.956548289,0.374271747,0.560062629,0.281041271,,,,,,,,
Derrac 50,0.769018158,0.260441678,0.162161483,0.661126444,0.768094167,0.236844254,0.142810036,0.693452991,0.954772618,0.314801856,0.469815539,0.236702764,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,Sentiment,D1,,D2,,D3,,,,,,,,
,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,0.875085346,0.337609606,0.974515315,0.539557766,0.97314978,0.580458388,K-means ,0.62252,0.673561867,0.83672,0.844103269,0.6582,0.70703192,,,,,,,
Derrac,0.796916432,0.291219157,0.97343559,0.402493328,0.973975452,0.485062295,Derrac,0.71236,0.734835355,0.80212,0.819643443,0.80272,0.813478557,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Placetypes,D1,,D2,,D3,,Movies,D1,,D2,,D3,,,,,,,,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,0.640927381,0.413044223,0.735006706,0.405283586,0.750335313,0.430376537,K-means ,0.813326137,0.431263945,0.913116659,0.513262403,0.912897118,0.506305537,,,,,,,
Derrac,0.605288369,0.390305478,0.671584595,0.391629699,0.755317111,0.39054752,Derrac,0.759273319,0.341238947,0.789478499,0.430966451,0.911470101,0.432260723,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,0.913116124,0.461529411,0.91144528,0.500335627,0.890559733,0.51057916,K-means ,0.666966127,0.208319589,0.64839049,0.201939968,0.678125394,0.212747917,,,,,,,
Derrac,0.767752715,0.392427636,0.834586466,0.444752721,0.804511278,0.425194531,Derrac,0.726429623,0.21523561,0.744860088,0.220015108,0.707020829,0.218716794,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,,,,,,,
K-means ,0.772256729,0.429691707,0.774327122,0.40687951,0.81884058,0.472189221,K-means ,0.670999352,0.504207995,0.638362488,0.507180195,0.685779074,0.512753112,,,,,,,
Derrac,0.67805383,0.448653341,0.740165631,0.410545864,0.807453416,0.414932857,Derrac,0.651036605,0.444999087,0.668610301,0.46280949,0.627389051,0.478710387,,,,,,,
