Newsgroups,D1,Unnamed: 2,Unnamed: 3,Unnamed: 4,D2,Unnamed: 6,Unnamed: 7,Unnamed: 8,D3,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,
PCA 200,0.955,0.348,0.521,0.261,0.959,0.424,0.678,0.309,0.96,0.454,0.674,0.343,
PCA 100,0.957,0.382,0.491,0.313,0.961,0.474,0.679,0.364,\textbf{0.963},0.512,0.694,0.406,
PCA 50,0.957,0.373,0.417,0.337,\textbf{0.963},0.478,0.621,0.388,0.963,0.506,0.7,0.396,
AWV 200,0.832,0.35,0.226,0.777,0.957,0.383,0.517,0.305,0.958,0.445,0.598,0.354,
AWV 100,0.83,0.343,0.219,0.785,0.823,0.36,0.233,\textbf{0.792},0.956,0.387,0.563,0.295,
AWV 50,0.807,0.341,0.215,0.816,0.833,0.361,0.236,0.762,0.954,0.392,0.511,0.318,
MDS 200,\textbf{0.959},\textbf{0.418},\textbf{0.543},0.339,0.962,0.465,0.669,0.357,0.962,0.493,\textbf{0.707},0.379,
MDS 100,0.857,0.365,0.244,0.725,0.959,0.428,0.624,0.326,0.96,0.453,0.644,0.349,
MDS 50,0.821,0.324,0.206,0.762,0.842,0.386,0.258,0.77,0.957,0.398,0.596,0.299,
D2V 200,0.831,0.343,0.22,0.784,0.96,0.47,\textbf{0.683},0.358,0.962,0.494,0.69,0.385,
D2V 100,0.844,0.374,0.243,0.803,0.961,\textbf{0.49},0.642,0.396,0.962,0.517,0.67,0.421,
D2V 50,0.845,0.388,0.252,\textbf{0.844},0.962,0.488,0.639,0.395,0.963,\textbf{0.537},0.673,\textbf{0.446},
,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,Sentiment,D1,,D2,,D3,
,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1
PCA,0.976,0.658,0.979,0.679,0.977,0.467,PCA,0.739,0.759,\textbf{0.797},\textbf{0.814},0.802,0.805
AWV,0.975,0.598,0.979,0.656,0.98,0.66,AWV,0.7,0.699,0.711,0.736,0.723,0.735
MDS,0.975,\textbf{0.678},\textbf{0.98},\textbf{0.706},\textbf{0.982},\textbf{0.72},D2V,\textbf{0.776},\textbf{0.784},0.782,0.801,\textbf{0.822},\textbf{0.821}
D2V,\textbf{0.977},0.583,0.979,0.664,0.98,0.632,,,,,,,
Placetypes,D1,,D2,,D3,,Movies,D1,,D2,,D3,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1
PCA,0.632,0.371,0.704,0.381,0.735,0.365,PCA,0.824,0.412,0.82,0.441,0.913,0.463
AWV,\textbf{0.66},\textbf{0.404},\textbf{0.734},\textbf{0.428},\textbf{0.755},\textbf{0.39},AWV,0.81,0.421,0.837,0.436,0.912,0.457
MDS,0.658,0.374,0.711,0.385,0.746,0.35,MDS,\textbf{0.849},\textbf{0.446},\textbf{0.839},\textbf{0.463},\textbf{0.918},\textbf{0.495}
Foursquare,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1
PCA,0.785,0.477,\textbf{0.907},0.474,0.869,\textbf{0.531},PCA,0.737,0.225,0.727,0.227,\textbf{0.709},0.22
AWV,\textbf{0.918},\textbf{0.541},0.881,\textbf{0.498},0.889,0.466,AWV,0.656,0.201,0.672,0.203,0.652,0.2
MDS,0.82,0.416,0.879,0.482,\textbf{0.897},0.485,MDS,\textbf{0.745},\textbf{0.23},\textbf{0.74},\textbf{0.233},0.708,\textbf{0.224}
Geonames,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1
PCA,0.665,0.348,0.754,0.342,0.743,0.306,PCA,\textbf{0.647},\textbf{0.466},\textbf{0.721},\textbf{0.499},0.681,0.492
AWV,\textbf{0.711},\textbf{0.444},\textbf{0.795},\textbf{0.533},\textbf{0.802},\textbf{0.473},AWV,0.646,0.463,0.692,0.474,0.677,0.483
MDS,0.591,0.289,0.772,0.333,0.764,0.352,MDS,0.62,0.463,0.692,0.489,\textbf{0.686},\textbf{0.498}
