Newsgroups,D1,,,,D2,,,,D3,,,,DN,,,,SVM,,,,
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,
PCA 200,0.700747228,0.250990627,0.148483268,0.810596442,0.842728587,0.365897922,0.245440832,0.718543783,0.956419733,0.355491752,0.540233898,0.264903505,0.945902298,0.440349051,0.449552294,0.431515067,0.968994054,0.612084837,0.74630825,0.518781985,
PCA 100,0.69846537,0.246960462,0.145598291,0.812843014,0.835167925,0.362194499,0.240760929,0.730781983,0.956933955,0.355518153,0.576302964,0.257043417,0.947774385,0.45109426,0.464923496,0.438063965,0.968744978,0.585818796,0.76774551,0.473594719,
PCA 50,0.680314961,0.240406102,0.140580063,0.829275283,0.833978788,0.355037424,0.234071512,0.734748293,0.956781295,0.329126516,0.471527814,0.252785384,0.947195886,0.449606819,0.461815898,0.438026659,0.965956934,0.520056462,0.745061461,0.399430393,
AWV 200,0.687321228,0.217197843,0.126131409,0.781277336,0.758026675,0.255659675,0.155504828,0.718271504,0.763618833,0.259519029,0.156870901,0.750809697,0.936549896,0.339326248,0.351549376,0.327924538,0.960927206,0.468089115,0.641032535,0.368635401,
AWV 100,0.677326049,0.210257561,0.121622976,0.775186358,0.780290857,0.275474039,0.172561575,0.682510278,0.745998714,0.250038565,0.149282543,0.769195718,0.934131448,0.323891332,0.331508407,0.316616431,0.865241845,0.399860174,0.265240935,0.811957654,
AWV 50,0.696408485,0.218641823,0.127350653,0.772173556,0.776691306,0.272333221,0.168490492,0.709777977,0.74322674,0.250028177,0.148663981,0.78584256,0.935143821,0.32536149,0.335052304,0.316215498,0.841659971,0.362346353,0.232650036,0.818813482,
MDS 200,0.581496063,0.18400711,0.103363707,0.837121569,0.741708179,0.262072274,0.159765732,0.728694038,0.718576249,0.235789251,0.138730452,0.784973639,0.934653704,0.327465034,0.332325789,0.322744422,0.965466817,0.500513081,0.801753862,0.363817085,
MDS 100,0.586365097,0.187189468,0.105448277,0.832612126,0.753953077,0.261198371,0.159210113,0.726740188,0.705310943,0.235895812,0.138104371,0.808133837,0.934999197,0.329631157,0.338269099,0.321423382,0.878201832,0.43929211,0.308149069,0.764761835,
MDS 50,0.592969629,0.152897352,0.086688115,0.647222143,0.715973003,0.250323392,0.150004952,0.755733228,0.735778563,0.243034513,0.14413672,0.774337503,0.934878676,0.3236087,0.334855852,0.313092534,0.854258396,0.393543791,0.258793591,0.821056326,
