Newsgroups,D1,,,,D2,,,,D3,,,,DN,,,,SVM,,,,
,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,ACC,F1,Prec,Rec,
PCA 200,,,,,,,,,,,,,,,,,,,,,
PCA 100,,,,,,,,,,,,,,,,,,,,,
PCA 50,,,,,,,,,,,,,,,,,,,,,
AWV 200,,,,,,,,,,,,,,,,,,,,,
AWV 100,,,,,,,,,,,,,,,,,,,,,
AWV 50,,,,,,,,,,,,,,,,,,,,,
MDS 200,,,,,,,,,,,,,,,,,,,,,
MDS 100,,,,,,,,,,,,,,,,,,,,,
MDS 50,,,,,,,,,,,,,,,,,,,,,
D2V 200,,,,,,,,,,,,,,,,,,,,,
D2V 100,,,,,,,,,,,,,,,,,,,,,
D2V 50,,,,,,,,,,,,,,,,,,,,,
PPMI,,,,,,,,,,,,,,,,,,,,,
Topic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,DN,,SVM,,Sentiment,D1,,D2,,D3,,DN,,SVM,
,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,,,,,,,,,,,,,,,,,,,,,
AWV,,,,,,,,,,,,,,,,,,,,,
MDS,,,,,,,,,,,,,,,,,,,,,
D2V,,,,,,,,,,,,,,,,,,,,,
PPMI,,,,,,,,,,,,,,,,,,,,,
Topic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Placetypes,D1,,D2,,D3,,DN,,SVM,,Movies,D1,,D2,,D3,,DN,,SVM,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,,,,,,,,,,,,,,,,,,,,,
AWV,,,,,,,,,,,,,,,,,,,,,
MDS,,,,,,,,,,,,,,,,,,,,,
PPMI,,,,,,,,,,,,,,,,,,,,,
Topic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,,,,,,,,,,,,,,,,,,,,,
AWV,,,,,,,,,,,,,,,,,,,,,
MDS,,,,,,,,,,,,,,,,,,,,,
PPMI,,,,,,,,,,,,,,,,,,,,,
Topic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,,,,,,,,,,,,,,,,,,,,,
AWV,,,,,,,,,,,,,,,,,,,,,
MDS,,,,,,,,,,,,,,,,,,,,,
PPMI,,,,,,,,,,,,,,,,,,,,,
Topic,,,,,,,,,,,,,,,,,,,,,
